Molecular Formulas Analysis for combined_real_nmr_data.csv
================================================================================
Generated on: 2025-01-30 15:01:24

SMILES | Molecular Formula
--------------------------------------------------------------------------------
CCN(CC)CCOC(=O)c1ccc(N)cc1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
COc1cc(N[C@@H](C)CCCN)c2ncccc2c1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
O=C(O)c1ccccc1Nc1ccccc1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
[H][C@]1(N(CCC)CCC)CCc2cccc(O)c2C1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
C[C@H](CN(C)C)CN1c2ccccc2Sc2ccccc21 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
COc1cc(CC(=O)O)ccc1O | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
[H][C@]1(CNC(=O)c2cc(S(N)(=O)=O)ccc2OC)CCCN1CC | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
[H][C@@](c1ccccc1)(c1ccc(Cl)cc1)N1CCN(C)CC1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
[H][C@]1(OC(C)=O)C(=O)N(CCN(C)C)c2ccccc2S[C@@]1([H])c1ccc(OC)cc1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
CCN(CC)CCNC(=O)c1ccc(N)cc1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
[H][C@@]1(c2ccc(O)cc2)CC(=O)c2c(O)cc(O)cc2O1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
[H][C@]1(CN2CCOCC2)CCc2[nH]c(C)c(CC)c2C1=O | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
C[C@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
[H][C@]1(N(CCC)CCC)CCc2ccc(O)cc2C1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
[H][C@@]1(CCO[C@](C)(c2ccccc2)c2ccc(Cl)cc2)CCCN1C | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
c1ccc(C2CC2)c(OCC2NCCN2)c1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
[H][C@@]1(OC(=O)c2c[nH]c3ccccc23)C[C@]2([H])CC[C@]([H])(C1)N2C | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
CC(C)NC[C@@H](O)COc1ccc(CCOCC2CC2)cc1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
[H]C(=O)Nc1cc([C@@H](O)CN[C@H](C)Cc2ccc(OC)cc2)ccc1O | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
[H]/C(Cc1c(O)c2c(c(C)c1OC)COC2=O)=C(/C)CCC(=O)O | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
[H][C@@]1(NCCC)CCc2c(OC)cccc2[C@@H]1C | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
[H]/C(C1=NCCCN1C)=C(/[H])c1sccc1C | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
CC(C)NC[C@H](O)COc1cccc2ccccc12 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
[H][C@@]1([C@]2([H])c3cc4c(cc3CCN2C)OCO4)OC(=O)c2c1ccc1c2OCO1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
[H]/C(CCN(C)C)=C1/c2ccccc2COc2ccccc21 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
[H]/C(CN1CCCC1)=C(/c1ccc(C)cc1)c1ccccn1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
[H]/C(CN(C)C)=C(\c1ccc(Br)cc1)c1cccnc1 | ERROR: module 'rdkit.Chem' has no attribute 'rdMolDescriptors'
