SMILES,sample-id,1H_NMR,13C_NMR,HSQC,COSY
Nc1ccccc1C(OCCNCC)OCC,AZ10006736_aug_st,"[[0.92, 0.4863707330404429], [0.93, 1.0], [0.95, 0.4809245821042236], [2.48, 0.1434795805393753], [2.49, 0.45145180786491973], [2.5, 0.47265858939452715], [2.51, 0.1320328596245878], [2.67, 0.11299865569593717], [2.68, 0.2637465171292184], [2.69, 0.11699859520572088], [4.16, 0.1254458642149847], [4.17, 0.28156184130038464], [4.18, 0.12311155477649424], [6.55, 0.273148913425676], [6.57, 0.27165434562510876], [7.61, 0.2554538866699232], [7.62, 0.24029649590247656]]","[166.31, 153.71, 131.38, 116.31, 113.01, 62.37, 50.96, 47.3, 12.12]","[[0.93, 12.32], [2.49, 47.48], [2.68, 51.17], [4.2, 62.6], [6.56, 113.23], [7.62, 131.69]]","[[0.92, 2.5], [0.94, 0.95], [2.49, 0.95], [2.5, 2.5], [2.68, 4.19], [2.68, 2.69], [4.17, 2.69], [4.18, 4.19], [6.56, 7.63], [6.57, 6.57], [7.62, 6.57], [7.64, 7.63]]"
O=C(O)CCc1cccc(c1)c1cnc(o1)c1ccccc1,AZ10011150_aug_st,"[[2.65, 0.2068600618967778], [2.66, 0.478270696661853], [2.68, 0.23954675117863927], [2.99, 0.3401064553544278], [3.0, 0.683416949623457], [3.01, 0.28871768075285886], [7.31, 0.048962803835451346], [7.32, 0.08930408436879997], [7.32, 0.05746941856299701], [7.32, 0.13824491496209232], [7.33, 0.12742062621075564], [7.33, 0.5162444704454882], [7.34, 0.26310690344860976], [7.34, 0.4747487507139411], [7.34, 0.1793599009740174], [7.35, 0.11560122668645145], [7.35, 0.07321109372301729], [7.36, 0.126895477769186], [7.36, 0.7569124574142497], [7.36, 0.5622336158429736], [7.37, 0.8758096620616622], [7.37, 0.39529900379981153], [7.37, 0.39741103904886915], [7.37, 0.1949751325806822], [7.38, 1.0], [7.38, 0.10308166470886969], [7.38, 0.0508386130775398], [7.39, 0.29882419722334513], [7.39, 0.2699964110733329], [7.4, 0.08453616749615847], [7.4, 0.9182780250140729], [7.41, 0.18571782843198623], [7.41, 0.39248847113162205], [7.41, 0.1040855229373257], [7.47, 0.4526826951225824], [7.47, 0.05145973355772765], [7.48, 0.21417503261144713], [7.48, 0.8575765680759129], [7.49, 0.41155672096354184], [7.49, 0.7055318354370631], [7.49, 0.12253260733979449], [7.5, 0.059608275364457], [7.51, 0.2332997060110906], [7.51, 0.7660638411740222], [7.51, 0.48679549956564316], [7.52, 0.41474257040892276], [7.52, 0.7548415102453075], [7.52, 0.12103817778782837]]","[163.44, 144.89, 134.66, 132.34, 129.35, 129.23, 129.07, 128.77, 128.62, 127.77, 126.67, 23.96]","[[2.68, 24.09], [3.0, 23.92], [7.37, 129.23], [7.38, 128.7], [7.47, 129.4], [7.48, 126.76], [7.51, 129.23], [7.51, 127.99]]","[[2.66, 2.51], [2.67, 2.85], [2.99, 2.51], [3.0, 2.85], [7.32, 7.19], [7.36, 7.22], [7.38, 7.34], [7.4, 7.23], [7.47, 7.31], [7.51, 7.22], [7.52, 7.36]]"
CC(CCCN)c1cc(N)c2nccc(OC)c2c1,AZ10011678_aug_st,"[[1.19, 0.20266391321914687], [1.2, 0.18249632131057836], [1.39, 0.004864010922735114], [1.41, 0.015049891893915118], [1.42, 0.014377728538847312], [1.44, 0.0036658477115951715], [1.44, 0.017758936425493182], [1.45, 0.0034532564029788786], [1.45, 0.004726242676428288], [1.46, 0.004394358825373247], [1.47, 0.008761378560483809], [1.48, 0.012284920361517704], [1.49, 0.010230708604479279], [1.5, 0.004305769504944325], [1.51, 0.006321236442144661], [1.53, 0.008546018212700747], [1.54, 0.014339041288614096], [1.55, 0.007173915412861399], [1.55, 0.007433402922439056], [1.56, 0.003024969273321361], [1.61, 0.007188206998332581], [1.62, 0.010936017314097865], [1.63, 0.020069346392607858], [1.64, 0.018092171357388765], [1.65, 0.0068870075190293045], [1.65, 0.008345670238126383], [1.67, 0.00349876324474741], [2.54, 0.07294157948202977], [2.54, 0.01759308366703218], [2.55, 0.06709709998981189], [2.56, 0.03844932174607882], [3.56, 0.010547102279337854], [3.57, 0.022748648251769206], [3.58, 0.0277339046750637], [3.59, 0.03186311979251211], [3.6, 0.02319056668465622], [3.61, 0.010307168338796819], [3.81, 1.0], [6.24, 0.14681764717780646], [6.46, 0.15750110379397445], [7.4, 0.06700804065581326], [7.41, 0.07798267186139725], [7.41, 0.07736440756237552], [7.42, 0.06965298270581477], [8.05, 0.08514869313846862], [8.07, 0.08353561655383207], [8.52, 0.11091325837059944], [8.53, 0.11704658623173878]]","[159.08, 144.72, 144.33, 134.89, 134.59, 129.66, 122.18, 96.14, 91.66, 55.06, 47.27, 41.53, 33.57, 29.54, 20.29]","[[1.21, 20.63], [1.43, 33.91], [1.43, 27.27], [1.46, 30.0], [1.47, 29.03], [1.49, 27.27], [1.53, 33.91], [1.64, 33.91], [1.64, 30.0], [2.55, 41.92], [3.21, 43.09], [3.59, 47.58], [3.81, 55.39], [6.25, 96.6], [6.46, 92.11], [7.41, 122.58], [8.06, 135.27], [8.53, 144.64], [8.56, 172.57]]","[[1.2, 3.59], [1.2, 1.2], [1.42, 2.56], [1.43, 1.65], [1.44, 1.45], [1.47, 1.48], [1.5, 1.67], [1.5, 1.53], [1.53, 1.54], [1.53, 3.59], [1.61, 1.64], [1.64, 3.59], [1.66, 1.51], [2.53, 2.56], [2.55, 1.42], [3.58, 1.2], [3.58, 1.64], [3.82, 3.83], [6.24, 6.25], [6.46, 6.47], [7.4, 8.54], [7.41, 8.07], [7.41, 7.43], [8.06, 7.41], [8.07, 8.07], [8.52, 8.54], [8.53, 7.41]]"
O=C(CN1CCN(C)CC1)N1C=CC=C2Nc3ccccc3C(=O)N=C21,AZ10023088_aug_st,"[[1.95, 0.09051399788648506], [1.97, 0.1678963858428205], [1.98, 0.11256469962719673], [2.08, 1.0], [2.19, 0.042888314594929644], [2.19, 0.05469341547466415], [2.23, 0.025208386410773165], [2.25, 0.021195605159919403], [2.26, 0.01713346326234043], [2.27, 0.013672403758671452], [2.86, 0.13483730939504202], [2.89, 0.1461667151314508], [3.57, 0.14452871760243624], [3.59, 0.1406105618106505], [7.39, 0.21007231032132656], [7.4, 0.21259035077331168], [7.41, 0.23245848269997638], [7.41, 0.22509452083315198], [7.45, 0.07453494336211025], [7.45, 0.13063891716161885], [7.46, 0.15139016757563373], [7.47, 0.16241168922047067], [7.48, 0.09651126139071471], [7.64, 0.2985189163637693], [7.65, 0.3779092751265488], [7.66, 0.12283622280726592], [7.76, 0.1459466623191064], [7.77, 0.15200762848637558], [8.19, 0.15191516743092554], [8.19, 0.1299213199371788]]","[169.94, 167.01, 147.06, 144.49, 140.47, 133.38, 131.21, 130.95, 130.73, 129.53, 128.79, 128.61, 124.69, 60.95, 54.12, 52.01, 45.4]","[[1.95, 52.05], [2.07, 45.37], [2.16, 54.16], [2.2, 52.05], [2.87, 61.01], [3.58, 61.01], [7.38, 124.83], [7.44, 131.16], [7.44, 128.7], [7.63, 133.44], [7.63, 130.81], [7.75, 130.98], [8.18, 144.52]]","[[1.95, 2.22], [1.95, 1.97], [2.06, 2.08], [2.17, 2.18], [2.22, 1.97], [2.88, 3.59], [2.88, 2.87], [3.58, 3.59], [3.58, 2.87], [7.39, 7.4], [7.39, 7.65], [7.4, 8.19], [7.44, 7.46], [7.44, 7.65], [7.63, 7.4], [7.64, 7.65], [7.74, 7.77], [7.75, 7.46], [8.18, 7.4], [8.18, 8.19]]"
O=C(Oc1ccccc1)c1ccc(N)cc1,AZ10034756_aug_st,"[[6.76, 0.21417621920894622], [6.77, 0.4767433089600741], [6.79, 0.23087119462435501], [7.05, 0.21811597763410567], [7.07, 0.46659308780217695], [7.08, 0.2577076167469658], [7.21, 0.35846085246378956], [7.23, 1.0], [7.24, 0.866240617001911], [7.34, 0.6464654262562586], [7.35, 0.6555853989368271], [7.36, 0.529435240934512], [7.38, 0.3878868687713212], [7.39, 0.18500280005615363], [7.9, 0.358348790178936], [7.91, 0.33631721745526605]]","[170.05, 147.07, 140.56, 134.27, 131.97, 129.59, 123.19, 121.45, 117.52, 113.82, 112.64]","[[6.77, 117.97], [7.06, 123.6], [7.22, 114.28], [7.23, 122.02], [7.35, 130.1], [7.38, 134.68], [7.9, 132.39], [7.9, 132.57]]","[[6.76, 7.91], [6.77, 6.79], [6.78, 7.91], [6.79, 7.4], [7.06, 7.36], [7.07, 7.08], [7.24, 7.24], [7.35, 7.36], [7.37, 7.24], [7.37, 7.08], [7.4, 6.79], [7.9, 6.79], [7.91, 7.91]]"
CCCOc1cccc2c1CCCC2NCCC,AZ10075521_aug_st,"[[0.82, 0.4385121316722242], [0.83, 1.0], [0.84, 0.4663614193025512], [1.34, 0.0284904318640475], [1.36, 0.118511130885111], [1.37, 0.21187752444904515], [1.37, 0.013144097162801936], [1.38, 0.04110725149338142], [1.38, 0.1938810135038049], [1.39, 0.11390715964054444], [1.4, 0.00816225213951665], [1.41, 0.009048192844845811], [1.41, 0.02798938640548525], [1.42, 0.034055321851637434], [1.43, 0.037009250498450726], [1.44, 0.03513217766760718], [1.45, 0.03578577294695711], [1.46, 0.013332079268169057], [1.47, 0.01232099362893317], [1.84, 0.021580876124404614], [1.84, 0.014664512759054033], [1.85, 0.01031224015009098], [1.85, 0.015296544976104418], [1.85, 0.02269526832240134], [1.86, 0.019635563797301057], [1.86, 0.014615473012057503], [1.87, 0.014611308500367827], [1.87, 0.02047203519815734], [2.24, 0.032071375380939834], [2.26, 0.033567024658724715], [2.27, 0.03454352701995096], [2.29, 0.03889709190761662], [2.4, 0.19992474486995268], [2.41, 0.24679286681097362], [2.42, 0.19241589648316648], [2.64, 0.009667417789421198], [2.65, 0.01031393286612041], [2.66, 0.005660312034929993], [2.67, 0.02858523405561379], [2.68, 0.018024178308560873], [2.69, 0.019065541899563686], [2.7, 0.017732887984115722], [2.71, 0.02462325031779512], [2.71, 0.028827666645076928], [2.72, 0.02521327016172785], [2.73, 0.04832746111046088], [2.73, 0.02601234669281356], [2.73, 0.021488415740454125], [2.74, 0.02571006884143066], [2.74, 0.03663138125078418], [2.75, 0.010784195227120796], [2.75, 0.015578616353568496], [2.76, 0.02699388970486028], [2.76, 0.012022537637794626], [2.77, 0.008171827635466518], [2.77, 0.004622871933616592], [2.77, 0.023601310111581054], [2.78, 0.022853921988584994], [2.78, 0.022052896210004266], [2.79, 0.01676656857339881], [2.79, 0.018175136732384654], [2.8, 0.010848182036189582], [2.8, 0.0105721347244915], [2.81, 0.008417080922697617], [2.81, 0.00877712756409067], [6.48, 0.09345265670094384], [6.49, 0.10104744513019548], [6.54, 0.09999667120899866], [6.55, 0.10930394270712285], [6.83, 0.07263818498225341], [6.85, 0.1278923310964768], [6.86, 0.06421874052346772], [9.29, 0.027592366757860923]]","[155.34, 137.82, 126.06, 123.41, 119.39, 111.7, 56.57, 52.25, 29.9, 25.98, 25.56, 21.96, 12.1]","[[0.82, 12.43], [1.37, 22.0], [1.42, 25.71], [1.84, 25.71], [2.42, 52.46], [2.69, 29.81], [2.74, 26.1], [2.76, 30.0], [2.79, 56.76], [6.5, 119.45], [6.56, 111.83], [6.87, 126.09]]","[[0.81, 1.39], [0.83, 0.84], [1.38, 2.42], [1.38, 1.39], [1.38, 0.84], [1.42, 2.76], [1.44, 1.87], [1.45, 1.43], [1.84, 1.87], [1.86, 1.43], [2.27, 2.75], [2.27, 2.28], [2.41, 2.42], [2.42, 1.39], [2.68, 1.86], [2.71, 2.72], [2.72, 2.28], [2.74, 2.75], [2.74, 1.45], [2.77, 2.75], [2.77, 2.67], [2.78, 2.8], [6.46, 6.47], [6.49, 6.86], [6.54, 6.86], [6.55, 6.55], [6.84, 6.47], [6.85, 6.86], [6.86, 6.57]]"
CN(C)CCCN1C=CSc2cc3ccccc3c(C)c21,AZ10096198_aug_st,"[[0.85, 0.2033746373555064], [0.86, 0.20343643721506485], [2.03, 0.048384153217499455], [2.05, 1.0], [2.05, 0.08000073216463514], [2.22, 0.013019942503352642], [2.24, 0.04140818642773359], [2.25, 0.03798905519882657], [2.26, 0.00825341645485986], [3.55, 0.025879677708247093], [3.57, 0.027932811123319], [3.58, 0.02864791984492467], [3.59, 0.030673632348868225], [3.89, 0.031087528128078124], [3.9, 0.0327155757985822], [3.92, 0.026506063778099668], [3.92, 0.02741567289209965], [6.91, 0.07031146746192608], [6.92, 0.1412940142929576], [6.94, 0.07780931145159078], [6.99, 0.11560037186480875], [7.01, 0.13466379559344996], [7.13, 0.15922495545655585], [7.15, 0.13319522323008937], [7.17, 0.07338422781418519], [7.18, 0.0785759824381618], [7.18, 0.1064817661539847], [7.2, 0.056460909663759544]]","[145.4, 127.69, 127.39, 124.57, 122.69, 116.39, 64.05, 51.47, 45.88, 28.8, 16.74]","[[0.86, 17.06], [2.04, 64.35], [2.04, 29.02], [2.06, 46.25], [2.23, 64.35], [3.58, 51.7], [3.92, 51.7], [6.93, 123.07], [7.01, 116.74], [7.14, 127.82], [7.19, 127.99]]","[[0.84, 2.04], [0.84, 0.87], [2.03, 3.91], [2.03, 3.55], [2.03, 0.87], [2.05, 2.06], [2.23, 2.25], [3.49, 3.51], [3.56, 3.92], [3.58, 2.04], [3.89, 2.04], [3.92, 3.92], [3.92, 3.62], [6.92, 6.93], [6.93, 7.19], [6.99, 7.19], [7.01, 7.0], [7.13, 6.94], [7.13, 7.15], [7.18, 7.19], [7.19, 7.0]]"
Oc1cc(O)ccc1CC(=O)OC,AZ10117523_aug_st,"[[3.43, 0.29608819896726907], [3.74, 1.0], [6.63, 0.05943857002866019], [6.64, 0.06025170897419355], [6.65, 0.09178307691107426], [6.65, 0.09035284180242482], [6.7, 0.23046079139197853], [6.71, 0.14970124940397195], [6.81, 0.14427286099451736], [6.81, 0.15153848476118614]]","[173.53, 147.76, 145.7, 126.18, 122.09, 115.7, 113.97, 56.02, 40.75]","[[2.51, -5.27], [3.42, 40.8], [3.73, 56.09], [6.63, 122.19], [6.69, 115.86], [6.8, 114.11]]","[[3.43, 3.44], [3.73, 3.73], [6.63, 6.83], [6.64, 6.64], [6.68, 6.71], [6.69, 6.63], [6.8, 6.82]]"
Fc1ccc(cc1)C(=O)C1CCN(CCC2=CN3C=C(C)C=CC3=NC2=O)CC1,AZ10139651_aug_st,"[[1.53, 0.07557979394500637], [1.53, 0.05922553353550158], [1.55, 0.20332552316442448], [1.55, 0.08001854490940725], [1.55, 0.10847508835391596], [1.57, 0.2350486504993446], [1.58, 0.17461431678980716], [1.59, 0.09917607139919281], [1.6, 0.08129187716432693], [1.73, 0.09150221183650725], [1.74, 0.1319118108348435], [1.74, 0.22646143989919176], [1.76, 0.09302143873247205], [1.76, 0.2087697770411179], [2.15, 0.11501719825645261], [2.17, 0.27185074595365977], [2.19, 0.15815847105367836], [2.42, 0.3683207065304092], [2.43, 0.4222968875552876], [2.43, 0.40149476358899067], [2.44, 0.2895126867002595], [2.45, 0.2985248257515306], [2.76, 0.35975077468618816], [2.77, 0.31164704576585456], [2.78, 0.3191281124147826], [2.97, 0.2750095163981087], [2.99, 0.27579784007946384], [3.33, 0.10381925429714502], [3.33, 0.04823057857017783], [3.34, 0.05338848927498909], [3.35, 0.19747313999560379], [3.35, 0.09807240727562785], [3.36, 0.04565447087462758], [3.36, 0.09404837339617997], [3.37, 0.09356082241640529], [3.38, 0.040411113234904976], [7.25, 0.23164431400597454], [7.27, 0.3528128795756628], [7.28, 0.24715898569560957], [7.31, 0.5135153730095915], [7.32, 1.0], [7.34, 0.528930091328907], [7.54, 0.38068211916177985], [7.55, 0.4026061244917139], [7.82, 0.24352398565587777], [7.83, 0.301036475062635], [7.84, 0.20433232070250923], [7.85, 0.20632689056095826], [8.02, 0.4828720195237811], [8.03, 0.5280113123950948], [8.84, 0.28251460331538714], [8.85, 0.2818476163111417]]","[201.94, 166.24, 164.57, 161.84, 157.62, 148.47, 136.66, 132.75, 131.67, 126.99, 125.61, 116.37, 116.23, 113.12, 56.71, 52.8, 43.14, 28.75, 24.18, 22.52]","[[1.55, 28.67], [1.75, 28.84], [2.17, 52.75], [2.43, 22.34], [2.44, 56.79], [2.77, 24.09], [2.97, 52.75], [3.36, 43.08], [7.27, 116.39], [7.32, 116.39], [7.55, 125.71], [7.84, 136.78], [8.03, 131.69], [8.85, 126.94]]","[[1.55, 1.57], [1.56, 3.36], [1.56, 2.18], [1.56, 1.76], [1.74, 1.76], [1.75, 1.57], [2.16, 2.98], [2.16, 1.57], [2.17, 2.18], [2.17, 1.76], [2.42, 2.76], [2.42, 2.44], [2.75, 2.78], [2.75, 2.45], [2.97, 2.18], [2.99, 2.98], [3.35, 3.37], [3.36, 1.57], [7.26, 7.27], [7.27, 7.83], [7.27, 8.85], [7.31, 8.04], [7.32, 7.33], [7.53, 7.55], [7.54, 7.85], [7.81, 7.85], [7.82, 7.27], [7.83, 7.55], [7.84, 7.85], [8.01, 8.04], [8.03, 7.33], [8.84, 7.27], [8.85, 8.85]]"
CCN(CC1CCCN1)C(=O)c1ccc(OC)c(c1)S(N)(=O)=O,AZ10161092_aug_st,"[[1.04, 0.24704357297877408], [1.05, 0.5044960478979337], [1.06, 0.24884048972372774], [1.48, 0.013001119467142065], [1.49, 0.01483643515684689], [1.49, 0.011156919944693616], [1.5, 0.013599411890793705], [1.5, 0.012371254917447578], [1.5, 0.015773839251384158], [1.51, 0.015966663227514173], [1.51, 0.01297226659815119], [1.51, 0.0183202324461555], [1.52, 0.02034144184308605], [1.52, 0.02907615148229134], [1.53, 0.021520652682424864], [1.53, 0.014018799161697694], [1.54, 0.022102053772204696], [1.59, 0.0070795164593229955], [1.59, 0.009682133578727941], [1.6, 0.008120560481127477], [1.6, 0.007995088400944908], [1.6, 0.010349659555870855], [1.61, 0.01894684473826081], [1.61, 0.026526542021711504], [1.62, 0.012029566955735415], [1.62, 0.0035576423524484612], [1.63, 0.0042594794933804095], [1.63, 0.017252925599648115], [1.63, 0.03913992781566979], [1.64, 0.026678534434734433], [1.64, 0.030414747550793216], [1.64, 0.021907398988668617], [1.65, 0.052140752920221356], [1.65, 0.02454452847090441], [1.66, 0.016303379228927918], [1.66, 0.009940674347903094], [1.67, 0.009682833349173137], [1.67, 0.0059154405258740085], [1.67, 0.01960824152406576], [1.78, 0.022575688496753992], [1.8, 0.058384676427473144], [1.81, 0.05323171877227643], [1.81, 0.02302953073235695], [1.82, 0.05163372415460736], [1.83, 0.043893819803636415], [1.83, 0.017537025398922164], [1.85, 0.01462137885690783], [2.1, 0.03884655484724437], [2.11, 0.03475274690828775], [2.12, 0.07380773362322351], [2.13, 0.04104456285135628], [2.13, 0.06529007371909193], [2.15, 0.034144836810929384], [2.19, 0.01753503928835757], [2.2, 0.05817698738916086], [2.21, 0.0626882841703176], [2.21, 0.017470732375226325], [2.22, 0.021692610044759145], [2.22, 0.06124579244085976], [2.23, 0.06071895505055045], [2.24, 0.017918628496125136], [2.56, 0.015613097254282254], [2.57, 0.03259664198420028], [2.57, 0.016247031976272776], [2.58, 0.031664711447059235], [2.58, 0.04792138106602166], [2.59, 0.03442634328198313], [2.59, 0.04513390354675055], [2.6, 0.016422543887735237], [2.6, 0.01596162180230886], [2.78, 0.01845096219294573], [2.79, 0.06215910559832952], [2.8, 0.01783447362908137], [2.81, 0.05822934886942755], [2.81, 0.06459688434428461], [2.82, 0.021215333559216905], [2.83, 0.05649810020332643], [2.84, 0.01669882785043922], [3.08, 0.03724882236771801], [3.08, 0.03188067128195248], [3.09, 0.06615866330738954], [3.09, 0.03250509881893058], [3.1, 0.03194509333686397], [3.1, 0.037497715736004904], [3.11, 0.033971182386875014], [3.14, 0.03476965373299649], [3.14, 0.034742376421164206], [3.15, 0.03479818583312138], [3.15, 0.036407685036666526], [3.16, 0.05448835558218823], [3.16, 0.04568270391481491], [3.17, 0.048980863073488805], [3.18, 0.040049549535625006], [3.47, 0.08523759307635786], [3.48, 0.0584171809941893], [3.49, 0.036959607824834685], [3.49, 0.04473016272293214], [3.5, 0.03751237548684128], [3.5, 0.03796382116723823], [3.51, 0.03294437098082686], [3.51, 0.036480879355350236], [3.96, 1.0], [7.31, 0.17735545081235232], [7.32, 0.3627794176070191], [7.88, 0.11208259093191336], [7.88, 0.1048000749437939], [7.89, 0.09453428111424562], [7.9, 0.106556771760374], [8.27, 0.204612883486478], [8.27, 0.1904636638206851]]","[164.08, 159.68, 136.8, 130.37, 129.1, 123.11, 113.09, 62.42, 57.04, 53.61, 48.08, 42.17, 28.62, 22.96, 14.41]","[[1.03, 15.05], [1.49, 28.67], [1.64, 22.86], [1.8, 28.67], [2.12, 53.63], [2.2, 48.18], [2.57, 62.42], [2.81, 48.18], [3.09, 53.63], [3.15, 42.03], [3.49, 42.2], [3.95, 56.97], [7.31, 113.23], [7.88, 130.46], [8.27, 129.23]]","[[1.06, 2.81], [1.06, 2.22], [1.06, 1.06], [1.48, 2.62], [1.53, 1.83], [1.53, 1.53], [1.65, 1.65], [1.67, 1.81], [1.83, 1.83], [1.84, 2.59], [1.84, 1.65], [2.14, 3.09], [2.14, 1.65], [2.15, 2.14], [2.22, 1.06], [2.23, 2.81], [2.23, 2.23], [2.51, 2.51], [2.59, 3.17], [2.59, 2.59], [2.59, 1.83], [2.59, 1.51], [2.81, 1.06], [2.83, 2.81], [2.83, 2.23], [3.09, 1.62], [3.11, 3.11], [3.16, 3.48], [3.16, 2.59], [3.19, 3.16], [3.5, 3.16], [3.97, 3.97], [7.33, 7.9], [7.34, 7.33], [7.9, 7.32], [7.91, 7.9], [8.28, 8.27]]"
