sample-id,shifts,SN_Number,AZ_Number,SMILES
19_SN0036206458,"[157.1, 130.91, 129.73, 114.27, 74.32, 70.95, 70.8, 68.4, 50.07, 48.23, 34.78, 22.94, 22.92, 10.53, 2.85]",SN0036206458,AZ10854205,CC(C)NC[C@@H](O)COc1ccc(CCOCC2CC2)cc1
36_SN1063482746,"[174.81, 170.78, 163.07, 153.12, 146.23, 134.18, 123.02, 122.87, 116.58, 107.35, 69.11, 61.1, 34.58, 32.99, 22.83, 16.39, 11.44]",SN1063482746,AZ11034953,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
8_SN0013094489,"[156.68, 149.75, 146.04, 137.88, 137.47, 133.97, 129.9, 129.75, 123.59, 122.79, 121.53, 53.02, 52.89, 23.2, 21.33]",SN0013094489,AZ12227950,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
26_SN1039885387,"[157.08, 143.03, 126.81, 123.77, 121.73, 107.7, 56.35, 55.57, 48.44, 35.66, 22.91, 22.54, 22.45, 17.35, 12.18]",SN1039885387,AZ11132517,[H][C@@]1(NCCC)CCc2c(OC)cccc2[C@@H]1C
29_SN0027837023,"[194.05, 141.8, 123.79, 119.17, 116.9, 65.56, 57.94, 53.18, 43.04, 27.75, 21.06, 17.64, 15.79, 9.96]",SN0027837023,AZ10421813,[H][C@]1(CN2CCOCC2)CCc2[nH]c(C)c(CC)c2C1=O
11_SN0150207227,"[196.85, 167.11, 163.96, 163.4, 158.19, 129.33, 128.81, 115.64, 102.23, 96.27, 95.44, 78.9, 42.43]",SN0150207227,AZ10282497,[H][C@@]1(c2ccc(O)cc2)CC(=O)c2c(O)cc(O)cc2O1
40_SN1013616272,"[156.61, 131.8, 126.2, 124.21, 121.19, 111.8, 64.52, 49.31, 9.02, 8.31]",SN1013616272,AZ10720790,c1ccc(C2CC2)c(OCC2NCCN2)c1
6_SN0150184184,"[175.47, 166.65, 141.08, 138.2, 137.11, 132.48, 132.29, 128.26, 128.01, 123.4, 123.28, 119.55, 50.52, 44.2, 18.54]",SN0150184184,AZ10522930,C[C@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
16_SN0027959070,"[169.94, 167.01, 147.06, 144.49, 140.47, 133.38, 131.21, 130.95, 130.73, 129.53, 128.79, 128.61, 124.69, 60.95, 54.12, 52.01, 45.4]",SN0027959070,AZ10023088,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
39_SN0176586344,"[146.54, 146.28, 131.77, 128.58, 128.53, 128.36, 127.34, 126.51, 79.98, 63.91, 60.28, 56.75, 40.33, 33.85, 30.72, 25.18, 21.81]",SN0176586344,AZ10642506,[H][C@@]1(CCO[C@](C)(c2ccccc2)c2ccc(Cl)cc2)CCCN1C
