sample-id,shifts,SN_Number,AZ_Number,SMILES
19_SN0036206458,"[[0.12, 0.07847020351273709], [0.13, 0.27633974698118613], [0.13, 0.23079803248591446], [0.13, 0.2910462074679239], [0.14, 0.09146988134446311], [0.14, 0.25246433350297026], [0.42, 0.23281947045689877], [0.42, 0.08516958074689687], [0.43, 0.10431053487836105], [0.43, 0.1103518217064696], [0.43, 0.2623847948444534], [0.44, 0.24036333073733543], [0.44, 0.26666680919232894], [0.45, 0.080255197163888], [0.96, 0.9475535805143975], [0.97, 1.0], [0.97, 0.9663391216574364], [0.98, 0.8716274465264939], [2.52, 0.07848019019369709], [2.53, 0.07995131650807395], [2.54, 0.1466591790119898], [2.54, 0.10932248091334952], [2.55, 0.1000227870590632], [2.65, 0.13284939844957566], [2.65, 0.12399222392529335], [2.67, 0.0800366652887834], [2.67, 0.09446315965899982], [2.67, 0.06848760902833644], [2.68, 0.11135702940890928], [2.69, 0.1594493735549884], [2.7, 0.1059033597416937], [2.71, 0.19454292913931548], [2.72, 0.4387015789138066], [2.73, 0.20289664021123371], [3.21, 0.6542097199537585], [3.22, 0.6330559203063238], [3.51, 0.2675654533662466], [3.52, 0.5673409424384238], [3.54, 0.2549542886670489], [3.81, 0.039851230675158486], [3.82, 0.27091329762576855], [3.83, 0.27328451604076365], [3.84, 0.08693836104170503], [3.88, 0.06415273279913995], [3.9, 0.13450541146838269], [3.9, 0.17730111902406667], [3.92, 0.027438005942084606], [6.82, 0.43039600029775454], [6.84, 0.4745959972730182], [7.11, 0.4359765966627995], [7.13, 0.3868686708986267]]",SN0036206458,AZ10854205,CC(C)NC[C@@H](O)COc1ccc(CCOCC2CC2)cc1
36_SN1063482746,"[[1.7, 0.38730042036491835], [1.71, 0.3016533545242397], [2.05, 0.7547299267164371], [2.12, 0.05538188252889773], [2.13, 0.08111511645959091], [2.13, 0.05381244999688348], [2.14, 0.08139361074615112], [2.22, 0.13777201672613731], [2.23, 0.16584085004893737], [2.23, 0.04856711398886492], [2.23, 0.018565184190951375], [2.24, 0.04110385258370411], [2.24, 0.05652724905506772], [3.26, 0.1358859146351189], [3.27, 0.13485163386688645], [3.66, 1.0], [5.08, 0.026584228390161575], [5.1, 0.03293243143459199], [5.1, 0.036456177103752346], [5.11, 0.030585734868781207], [5.2, 0.37358956014097644]]",SN1063482746,AZ11034953,[H]/C(Cc1c(O)c2c(c(C)c1OC)COC2=O)=C(/C)CCC(=O)O
8_SN0013094489,"[[1.91, 0.01434336889403546], [2.37, 1.0], [2.92, 0.03110225606563105], [3.47, 0.03149397078081518], [3.78, 0.25039626386302816], [3.79, 0.2496250521469973], [6.95, 0.16883939409941204], [6.95, 0.10035655126283308], [6.96, 0.16601603353004601], [6.96, 0.23226839836186375], [6.97, 0.08366672400583809], [7.12, 0.3078264720038695], [7.14, 0.34802310110248014], [7.29, 0.2698707017465741], [7.31, 0.22851212464084095], [7.32, 0.06978053338090641], [7.32, 0.06780283379663933], [7.32, 0.07006819877792021], [7.33, 0.07909877246344686], [7.33, 0.08245317713652425], [7.33, 0.0778741359902377], [7.34, 0.07742194338668053], [7.34, 0.08450305334526001], [7.72, 0.08105206556131503], [7.72, 0.0815612570174682], [7.73, 0.13387049517029234], [7.74, 0.13220055236429692], [7.75, 0.07238589821629979], [7.75, 0.07369063113939227], [8.61, 0.11136639771549008], [8.62, 0.10953425009204083]]",SN0013094489,AZ12227950,[H]/C(CN1CCCC1)=C(/c1ccc(C)cc1)c1ccccn1
26_SN1039885387,"[[0.89, 0.21954716427126553], [0.9, 0.4823952064295546], [0.91, 0.24094375143878244], [1.06, 0.4117100113633544], [1.07, 0.42179969074678475], [1.47, 0.014681691108080128], [1.48, 0.06872021985770417], [1.49, 0.1301982921668119], [1.51, 0.12902665353436682], [1.52, 0.06578822253308356], [1.53, 0.013432384492760562], [1.59, 0.010262883548017604], [1.6, 0.01197084378418863], [1.61, 0.030250475491133043], [1.62, 0.03158592947381389], [1.63, 0.03621254301497226], [1.64, 0.033445318703913124], [1.65, 0.015353119206285229], [1.66, 0.014205907373914004], [1.79, 0.005798056248606833], [1.8, 0.013335006060247203], [1.8, 0.02109056912894927], [1.81, 0.013488172769832767], [1.81, 0.021335869518347116], [1.82, 0.010509485293129313], [1.82, 0.015071362072267875], [1.83, 0.004455522594878945], [1.83, 0.01744518597975783], [2.07, -0.00031229597960596886], [2.42, 0.020999676606158965], [2.44, 0.02052675275048775], [2.44, 0.0238642586224014], [2.45, 0.04620260085242361], [2.46, 0.02576070987436807], [2.47, 0.026798418583738905], [2.48, 0.02308639395671737], [2.61, 0.00444372504851577], [2.62, 0.02805780272752558], [2.62, 0.027538763437123977], [2.63, 0.05465911415126521], [2.64, 0.031360354736341425], [2.64, 0.042800041612392814], [2.65, 0.0057782673967566025], [2.65, 0.025344466236146158], [2.74, 0.026935706072803624], [2.75, 0.03254389060378759], [2.75, 0.031805220488589955], [2.76, 0.027542093168122134], [2.77, 0.0239885439872806], [2.78, 0.02663166129533325], [2.78, 0.027693972778251613], [2.79, 0.02058952959326238], [2.9, 0.019618031993205554], [2.9, 0.01630115608323225], [2.91, 0.020765206344312573], [2.91, 0.01667731950961573], [2.92, 0.01579663461728734], [2.92, 0.017797793908943454], [2.93, 0.01938613781321973], [2.93, 0.019617487084721594], [3.01, 0.009376009586587578], [3.03, 0.027071088205499187], [3.03, 0.03647639902586675], [3.04, 0.02889097138890612], [3.05, 0.03306061913830655], [3.06, 0.0071085575896838475], [3.74, 1.0], [6.72, 0.30574397814568144], [6.73, 0.3251682362641952], [7.08, 0.07538897108390298], [7.09, 0.13175300151047598], [7.1, 0.06369194406564718]]",SN1039885387,AZ11132517,[H][C@@]1(NCCC)CCc2c(OC)cccc2[C@@H]1C
29_SN0027837023,"[[0.96, 0.25649089390023183], [0.98, 0.5576434684801088], [0.99, 0.2563341807325053], [1.78, 0.008467545075619101], [1.79, 0.01951568729762866], [1.79, 0.013651918946838508], [1.8, 0.02442855548779983], [1.8, 0.011458952210963547], [1.81, 0.021593923776456903], [1.81, 0.02324099174325247], [1.82, 0.021662812004410156], [1.82, 0.012684213868083643], [1.83, 0.01156013543793882], [1.84, 0.010170873208733697], [2.03, 1.0], [2.15, 0.033242623082306084], [2.15, 0.014385584522622145], [2.16, 0.011954968249799315], [2.17, 0.015395703198565067], [2.17, 0.00952061368776202], [2.18, 0.02762149565710537], [2.43, 0.0036540299729237074], [2.44, 0.0004442546130261635], [2.46, 0.0014412650630518972], [2.47, 0.0625805943095742], [2.48, 0.19575640873005418], [2.49, 0.18792831583123634], [2.51, 0.0008396604959088159], [2.51, 0.0013940012670985821], [2.51, 0.03704566462466818], [2.52, 0.0010139525199182543], [2.52, 0.0007025682853130682], [2.53, 0.004883672262065962], [2.53, 0.0014033953929940936], [2.54, 0.06890144679387128], [2.55, 0.034642761109560244], [2.55, 0.00857621532919801], [2.56, 0.005099707031280564], [2.56, 0.004208539640872024], [2.56, 0.005952833432565022], [2.58, 0.0032010018456081076], [2.59, 0.00023441593168423752], [2.61, 0.0009296804557530435], [2.61, 0.0006578838130661187], [2.61, 0.0003975295563882357], [2.62, 0.0003588627980234343], [2.62, 0.0006449396096749173], [2.65, 0.00796980217588404], [2.65, 0.0071177328433849555], [2.66, 0.0039812832288404305], [2.67, 0.026499170318796613], [2.68, 0.021788024279739162], [2.69, 0.059848818558564894], [2.69, 0.014197401987446838], [2.7, 0.0800957987168693], [2.71, 0.03868516178680234], [2.72, 0.012881147356589467], [2.73, 0.024837573196048072], [2.74, 0.009040764551835261], [3.64, 0.13235770362161728]]",SN0027837023,AZ10421813,[H][C@]1(CN2CCOCC2)CCc2[nH]c(C)c(CC)c2C1=O
11_SN0150207227,"[[2.67, 0.0928498843676661], [2.67, 0.0891061811929504], [2.7, 0.09772486785826849], [2.7, 0.10455072088625314], [3.24, 0.0963624013152878], [3.26, 0.08700946696289255], [3.26, 0.093229243497581], [3.29, 0.08911070988178485], [5.42, 0.07671232867015675], [5.43, 0.08084113974885172], [5.45, 0.07375626308198456], [5.45, 0.07943109732623688], [5.89, 1.0], [6.79, 0.31524334148268035], [6.81, 0.3181547769050277], [7.31, 0.2874679246850237], [7.33, 0.2652970097238784]]",SN0150207227,AZ10282497,[H][C@@]1(c2ccc(O)cc2)CC(=O)c2c(O)cc(O)cc2O1
40_SN1013616272,"[[0.6, 0.08485229658147296], [0.61, 0.23255577127400645], [0.61, 0.254508710536843], [0.62, 0.21813936733521014], [0.62, 0.2659598561301561], [0.63, 0.09888878911089866], [0.87, 0.10131204986989445], [0.88, 0.23671012833158125], [0.88, 0.25580442499875594], [0.89, 0.24336526037041342], [0.89, 0.10447751461935156], [0.89, 0.10700583497267349], [0.9, 0.25104651852370385], [0.91, 0.09292326652486331], [2.21, 0.029554449613863266], [2.22, 0.06117747736682266], [2.22, 0.05889977358781362], [2.23, 0.11742977175427566], [2.23, 0.02722080182768985], [2.24, 0.05836563320757282], [2.24, 0.02792472870926211], [2.25, 0.056292077773913825], [2.26, 0.026604849361679228], [3.47, 1.0], [4.62, 0.6722932525727404], [6.79, 0.12059709765175017], [6.81, 0.15988471148407482], [6.85, 0.09417541913312605], [6.86, 0.16521912287719462], [6.87, 0.06723949165182336], [6.93, 0.14476040437780882], [6.95, 0.17786861132325718], [7.07, 0.10672755381075098], [7.08, 0.12897284784906957], [7.09, 0.08229039654619162]]",SN1013616272,AZ10720790,c1ccc(C2CC2)c(OCC2NCCN2)c1
6_SN0150184184,"[[1.37, 0.915766668902919], [1.38, 0.8479600957516596], [3.67, 0.039390434274856556], [3.68, 0.15191981263218216], [3.69, 0.14732535441454542], [3.71, 0.03881095489635136], [5.0, 1.0], [7.34, 0.5134000234947893], [7.36, 0.5328313943444877], [7.52, 0.07606770278748727], [7.54, 0.1787124663464762], [7.55, 0.10493209358732765], [7.65, 0.06325072627895173], [7.66, 0.4590769068686185], [7.67, 0.1927592155787121], [7.68, 0.05001543139245423], [7.77, 0.28173740237700834], [7.78, 0.25551838172101593], [7.84, 0.5967102388266523], [7.85, 0.5300721450502441]]",SN0150184184,AZ10522930,C[C@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
16_SN0027959070,"[[1.95, 0.09051399788648506], [1.97, 0.1678963858428205], [1.98, 0.11256469962719673], [2.08, 1.0], [2.19, 0.042888314594929644], [2.19, 0.05469341547466415], [2.23, 0.025208386410773165], [2.25, 0.021195605159919403], [2.26, 0.01713346326234043], [2.27, 0.013672403758671452], [2.86, 0.13483730939504202], [2.89, 0.1461667151314508], [3.57, 0.14452871760243624], [3.59, 0.1406105618106505], [7.39, 0.21007231032132656], [7.4, 0.21259035077331168], [7.41, 0.23245848269997638], [7.41, 0.22509452083315198], [7.45, 0.07453494336211025], [7.45, 0.13063891716161885], [7.46, 0.15139016757563373], [7.47, 0.16241168922047067], [7.48, 0.09651126139071471], [7.64, 0.2985189163637693], [7.65, 0.3779092751265488], [7.66, 0.12283622280726592], [7.76, 0.1459466623191064], [7.77, 0.15200762848637558], [8.19, 0.15191516743092554], [8.19, 0.1299213199371788]]",SN0027959070,AZ10023088,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
39_SN0176586344,"[[1.26, 0.017071739423086957], [1.28, 0.01797848155278594], [1.28, 0.04121518782353759], [1.29, 0.009827937361479624], [1.29, 0.04915462583227351], [1.3, 0.020759162101733702], [1.3, 0.038252132129880635], [1.31, 0.010083819967120529], [1.31, 0.040643162899125354], [1.32, 0.022504029364800785], [1.35, 0.017270307968138776], [1.36, 0.0373952859523354], [1.37, 0.019599183890690746], [1.37, 0.01643864715979458], [1.38, 0.039256081691933446], [1.38, 0.01656236576278964], [1.39, 0.01919783647591773], [1.39, 0.019930464292537534], [1.39, 0.03939015951152747], [1.4, 0.041358677910012055], [1.4, 0.018988435866493018], [1.41, 0.019350946189501127], [1.55, 0.02585069556416546], [1.55, 0.03606466846427259], [1.56, 0.05981747343352379], [1.56, 0.04460821934849639], [1.57, 0.10971019826858275], [1.57, 0.05897414221626416], [1.58, 0.06511263944045019], [1.58, 0.024184310584009033], [1.59, 0.02013003918193419], [1.59, 0.05328280418101153], [1.6, 0.018529163685278488], [1.76, 0.02216733170012526], [1.79, 0.05008620911980651], [1.8, 0.04663450478609598], [1.8, 0.018420008355343506], [1.82, 0.016470344436341395], [1.87, 0.017708244075425834], [1.88, 0.03627352429238673], [1.88, 0.020740278970075077], [1.89, 0.03316862680328635], [1.89, 0.03749118629887164], [1.9, 0.034632446239538095], [1.91, 0.036384320159483834], [1.91, 0.03262911922003655], [1.92, 0.018211550404620254], [1.92, 0.016638936409655032], [2.04, 0.039361487617868327], [2.06, 0.11267722604587195], [2.07, 0.11637572849761771], [2.09, 0.03565352251942179], [2.14, 0.01096993623998486], [2.15, 0.014428880905388429], [2.16, 0.045169341201403174], [2.16, 0.032154178627447925], [2.17, 0.049753919567395], [2.88, 0.03992424821751204], [2.89, 0.026799463584132207], [2.89, 0.04160568667196997], [2.9, 0.06577303034960567], [2.91, 0.057105314291480046], [2.92, 0.03609960989416842], [3.13, 0.030106307226639602], [3.14, 0.055803545251964924], [3.14, 0.028865078434216183], [3.14, 0.0316513047129145], [3.15, 0.052915988488484646], [3.15, 0.026036478971230057], [3.16, 0.05155548529278453], [3.17, 0.04931142849116884], [3.18, 0.049949702027924904], [3.19, 0.027438675149265193], [3.19, 0.049247940216664975], [3.19, 0.047952329471550675], [3.2, 0.04438528161559442], [3.2, 0.053291713281246], [3.21, 0.02713587812988126], [7.17, 0.024866306169278346], [7.18, 0.053316806199093875], [7.18, 0.04847533567746447], [7.19, 0.08229805947682031], [7.19, 0.08113727275341195], [7.2, 0.044827232570657925], [7.2, 0.07570069922376202], [7.26, 0.05137485740496436], [7.27, 0.027025692973406547], [7.28, 0.35511507487967003], [7.28, 0.3188453538757739], [7.29, 1.0], [7.31, 0.03914252108171147], [7.31, 0.7898598980237026], [7.31, 0.7098419257999564], [7.33, 0.04901339871072501]]",SN0176586344,AZ10642506,[H][C@@]1(CCO[C@](C)(c2ccccc2)c2ccc(Cl)cc2)CCCN1C
