sample-id,shifts,SN_Number,AZ_Number,SMILES
19_SN0036206458,"[[0.12, 0.83], [0.12, 0.29], [0.12, -0.0], [0.42, 0.31], [0.42, 0.01], [0.43, 0.83], [0.45, 0.01], [0.95, 0.01], [0.95, 3.08], [0.95, 0.32], [0.97, 2.56], [0.97, 0.84], [2.53, 2.53], [2.55, 3.69], [2.55, 2.41], [2.64, 3.69], [2.64, 2.53], [2.66, 2.41], [2.67, 2.55], [2.69, 0.84], [2.7, 3.39], [2.72, 2.59], [2.73, 3.39], [3.2, 3.08], [3.2, 0.83], [3.52, 3.39], [3.53, 2.59], [3.81, 3.8], [3.81, 3.69], [3.81, 2.53], [3.81, 2.41], [3.89, 3.77], [3.89, 3.66], [6.82, 6.71], [6.83, 6.99], [7.12, 6.69], [7.13, 6.99]]",SN0036206458,AZ10854205,CC(C)NC[C@@H](O)COc1ccc(CCOCC2CC2)cc1
36_SN1063482746,"[[1.7, 1.59], [2.05, 1.93], [2.12, 2.12], [2.13, 2.03], [2.24, 2.0], [2.24, 2.11], [2.53, 2.42], [3.25, 3.15], [3.26, 4.98], [3.66, 3.54], [5.09, 3.15], [5.1, 4.98], [5.2, 5.09]]",SN1063482746,AZ11034953,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
8_SN0013094489,"[[1.88, 2.92], [1.88, 3.48], [1.89, 1.9], [2.38, 2.39], [2.91, 2.92], [2.91, 3.5], [2.93, 1.89], [3.32, 3.33], [3.46, 1.89], [3.47, 3.47], [3.48, 2.92], [3.79, 6.97], [3.79, 3.8], [6.95, 3.8], [6.96, 7.74], [6.96, 6.97], [7.13, 7.3], [7.13, 7.15], [7.3, 7.15], [7.3, 7.32], [7.31, 8.62], [7.33, 7.74], [7.72, 6.97], [7.73, 7.74], [7.74, 7.33], [7.74, 6.97], [8.61, 8.63], [8.62, 7.74], [8.62, 7.33]]",SN0013094489,AZ12227950,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
26_SN1039885387,"[[0.89, 1.5], [0.9, 0.9], [1.06, 1.06], [1.07, 3.03], [1.5, 2.64], [1.5, 1.5], [1.5, 0.9], [1.61, 1.62], [1.63, 1.81], [1.79, 1.81], [1.81, 2.45], [1.81, 1.64], [2.45, 2.45], [2.47, 2.76], [2.47, 1.62], [2.51, 2.51], [2.62, 1.5], [2.64, 2.64], [2.76, 2.45], [2.76, 1.62], [2.78, 2.76], [2.92, 1.62], [2.94, 2.92], [3.03, 3.03], [3.03, 1.06], [3.73, 3.73], [6.72, 7.08], [6.74, 6.72], [7.09, 7.08], [7.09, 6.72]]",SN1039885387,AZ11132517,CCCN[C@@H]1CCc2c(OC)cccc2[C@@H]1C
29_SN0027837023,"[[0.97, 0.98], [0.99, 2.5], [1.8, 2.17], [1.82, 2.7], [1.82, 1.83], [2.04, 2.04], [2.16, 1.81], [2.18, 2.72], [2.18, 2.17], [2.47, 2.5], [2.49, 0.98], [2.51, 2.5], [2.69, 2.7], [2.71, 2.17], [2.71, 1.81], [3.63, 3.64]]",SN0027837023,AZ10421813,CCc1c(C)[nH]c2c1C(=O)[C@@H](CN1CCOCC1)CC2
11_SN0150207227,"[[2.66, 3.26], [2.69, 2.69], [3.24, 5.44], [3.25, 3.26], [3.26, 2.69], [5.43, 3.26], [5.44, 5.44], [5.88, 5.89], [6.78, 6.8], [6.79, 7.32], [7.31, 6.8], [7.32, 7.32]]",SN0150207227,AZ10282497,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21
40_SN1013616272,"[[0.61, 2.25], [0.61, 0.89], [0.61, 0.62], [0.89, 2.25], [0.9, 0.64], [0.91, 0.9], [2.24, 2.25], [2.24, 0.9], [2.24, 0.62], [3.47, 4.64], [3.47, 3.48], [4.62, 4.63], [4.62, 3.47], [6.81, 6.8], [6.85, 6.88], [6.85, 7.08], [6.94, 6.96], [6.94, 7.08], [6.94, 6.83], [7.08, 7.1], [7.08, 6.93]]",SN1013616272,AZ10720790,c1ccc(C2CC2)c(OCC2NCCN2)c1
6_SN0150184184,"[[1.38, 3.7], [1.39, 1.39], [3.68, 3.7], [3.69, 1.39], [4.99, 5.0], [7.35, 7.85], [7.36, 7.36], [7.53, 7.77], [7.54, 7.55], [7.66, 7.68], [7.76, 7.79], [7.78, 7.55], [7.84, 7.36], [7.85, 7.85]]",SN0150184184,AZ10522930,C[C@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
16_SN0027959070,"[[1.95, 2.22], [1.95, 1.97], [2.06, 2.08], [2.17, 2.18], [2.22, 1.97], [2.88, 3.59], [2.88, 2.87], [3.58, 3.59], [3.58, 2.87], [7.39, 7.4], [7.39, 7.65], [7.4, 8.19], [7.44, 7.46], [7.44, 7.65], [7.63, 7.4], [7.64, 7.65], [7.74, 7.77], [7.75, 7.46], [8.18, 7.4], [8.18, 8.19]]",SN0027959070,AZ10023088,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
39_SN0176586344,"[[1.26, 1.79], [1.28, 2.18], [1.28, 1.57], [1.3, 1.31], [1.39, 3.16], [1.39, 1.9], [1.39, 1.4], [1.56, 2.9], [1.56, 2.08], [1.56, 1.31], [1.58, 1.78], [1.58, 1.57], [1.66, 1.67], [1.78, 1.78], [1.78, 1.29], [1.8, 2.18], [1.87, 3.12], [1.89, 1.79], [1.89, 1.39], [1.94, 1.92], [2.06, 2.9], [2.06, 1.57], [2.08, 2.08], [2.14, 1.79], [2.17, 1.39], [2.19, 2.2], [2.89, 1.57], [2.91, 2.9], [2.91, 2.08], [3.16, 3.16], [3.17, 1.9], [3.17, 1.39], [3.19, 3.22], [7.18, 7.3], [7.19, 7.21], [7.3, 7.32], [7.31, 7.19]]",SN0176586344,AZ10642506,CN1CCC[C@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1
30_SN0153719205,"[[0.84, 2.04], [0.84, 0.87], [2.03, 3.91], [2.03, 3.55], [2.03, 0.87], [2.05, 2.06], [2.23, 2.25], [3.49, 3.51], [3.56, 3.92], [3.58, 2.04], [3.89, 2.04], [3.92, 3.92], [3.92, 3.62], [6.92, 6.93], [6.93, 7.19], [6.99, 7.19], [7.01, 7.0], [7.13, 6.94], [7.13, 7.15], [7.18, 7.19], [7.19, 7.0]]",SN0153719205,AZ10096198,C[C@H](CN(C)C)CN1c2ccccc2Sc2ccccc21
34_SN1013197435,"[[2.06, 2.06], [2.85, 2.87], [2.86, 6.24], [6.23, 6.24], [6.24, 2.87], [7.1, 7.47], [7.11, 7.1], [7.45, 7.57], [7.45, 7.46], [7.46, 7.11], [7.47, 7.47], [7.47, 8.52], [7.51, 7.52], [8.25, 8.26], [8.51, 8.51], [8.51, 7.46]]",SN1013197435,AZ12228081,CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1
13_SN0016620489,"[[6.76, 7.91], [6.77, 6.79], [6.78, 7.91], [6.79, 7.4], [7.06, 7.36], [7.07, 7.08], [7.24, 7.24], [7.35, 7.36], [7.37, 7.24], [7.37, 7.08], [7.4, 6.79], [7.9, 6.79], [7.91, 7.91]]",SN0016620489,AZ10034756,O=C(O)c1ccccc1Nc1ccccc1
2_SN0150382857,"[[2.11, 2.24], [2.22, 2.37], [2.38, 2.51], [4.24, 4.37], [7.15, 7.39], [7.17, 7.31], [7.27, 7.39], [7.29, 7.28], [7.32, 7.53], [7.32, 7.26], [7.33, 7.33], [7.36, 7.47], [7.41, 7.31], [7.43, 7.55]]",SN0150382857,AZ10169773,CN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1
28_SN0013872791,"[[2.66, 2.51], [2.67, 2.85], [2.99, 2.51], [3.0, 2.85], [7.32, 7.19], [7.36, 7.22], [7.38, 7.34], [7.4, 7.23], [7.47, 7.31], [7.51, 7.22], [7.52, 7.36]]",SN0013872791,AZ10011150,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
42_SN1053693135,"[[1.06, 2.81], [1.06, 2.22], [1.06, 1.06], [1.48, 2.62], [1.53, 1.83], [1.53, 1.53], [1.65, 1.65], [1.67, 1.81], [1.83, 1.83], [1.84, 2.59], [1.84, 1.65], [2.14, 3.09], [2.14, 1.65], [2.15, 2.14], [2.22, 1.06], [2.23, 2.81], [2.23, 2.23], [2.51, 2.51], [2.59, 3.17], [2.59, 2.59], [2.59, 1.83], [2.59, 1.51], [2.81, 1.06], [2.83, 2.81], [2.83, 2.23], [3.09, 1.62], [3.11, 3.11], [3.16, 3.48], [3.16, 2.59], [3.19, 3.16], [3.5, 3.16], [3.97, 3.97], [7.33, 7.9], [7.34, 7.33], [7.9, 7.32], [7.91, 7.9], [8.28, 8.27]]",SN1053693135,AZ10161092,CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
1_SN0017662828,"[[0.81, 1.39], [0.83, 0.84], [1.38, 2.42], [1.38, 1.39], [1.38, 0.84], [1.42, 2.76], [1.44, 1.87], [1.45, 1.43], [1.84, 1.87], [1.86, 1.43], [2.27, 2.75], [2.27, 2.28], [2.41, 2.42], [2.42, 1.39], [2.68, 1.86], [2.71, 2.72], [2.72, 2.28], [2.74, 2.75], [2.74, 1.45], [2.77, 2.75], [2.77, 2.67], [2.78, 2.8], [6.46, 6.47], [6.49, 6.86], [6.54, 6.86], [6.55, 6.55], [6.84, 6.47], [6.85, 6.86], [6.86, 6.57]]",SN0017662828,AZ10075521,CCCN(CCC)[C@H]1CCc2cccc(O)c2C1
18_SN0029896558,"[[1.2, 3.59], [1.2, 1.2], [1.42, 2.56], [1.43, 1.65], [1.44, 1.45], [1.47, 1.48], [1.5, 1.67], [1.5, 1.53], [1.53, 1.54], [1.53, 3.59], [1.61, 1.64], [1.64, 3.59], [1.66, 1.51], [2.53, 2.56], [2.55, 1.42], [3.58, 1.2], [3.58, 1.64], [3.82, 3.83], [6.24, 6.25], [6.46, 6.47], [7.4, 8.54], [7.41, 8.07], [7.41, 7.43], [8.06, 7.41], [8.07, 8.07], [8.52, 8.54], [8.53, 7.41]]",SN0029896558,AZ10011678,COc1cc(N[C@@H](C)CCCN)c2ncccc2c1
9_SN0017963968,"[[2.61, 3.28], [2.61, 2.62], [3.27, 2.62], [3.29, 3.28], [7.43, 7.54], [7.43, 7.43], [7.5, 7.4], [7.5, 7.74], [7.51, 7.51], [7.73, 7.76], [7.74, 7.51], [7.82, 8.07], [7.84, 7.83], [8.06, 7.83], [8.07, 8.07]]",SN0017963968,AZ10175972,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
31_SN0182236677,"[[1.59, 2.5], [1.59, 1.66], [2.44, 2.5], [2.44, 1.66], [3.85, 3.91], [5.53, 5.6], [7.16, 7.23], [7.16, 7.65], [7.18, 7.4], [7.34, 7.24], [7.35, 7.41], [7.59, 7.66], [7.6, 7.23]]",SN0182236677,AZ10557846,Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1
32_SN1003965023,"[[0.89, 2.81], [0.89, 0.9], [2.39, 2.83], [2.39, 2.64], [2.41, 2.4], [2.64, 2.64], [2.64, 2.4], [2.66, 4.49], [2.8, 2.81], [2.82, 2.4], [2.82, 0.9], [4.47, 2.69], [4.47, 4.49], [6.77, 6.79], [6.78, 7.02], [6.84, 8.01], [6.86, 6.86], [6.92, 6.91], [7.01, 6.79], [7.02, 7.02], [7.99, 6.86], [7.99, 7.99], [8.25, 8.26]]",SN1003965023,AZ10930573,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1
24_SN1032939171,"[[0.99, 2.75], [0.99, 1.0], [2.64, 2.69], [2.66, 2.92], [2.66, 2.8], [2.68, 4.03], [2.69, 2.67], [2.74, 2.75], [2.74, 1.0], [2.77, 2.92], [2.77, 2.8], [2.78, 4.03], [2.78, 2.67], [4.02, 2.67], [4.03, 4.05], [4.07, 4.05], [4.1, 4.11], [4.11, 4.05], [4.13, 4.11], [6.92, 6.94], [6.93, 7.4], [7.39, 7.4], [7.4, 6.94], [7.43, 7.46], [7.44, 7.4], [7.49, 7.36], [7.49, 7.85], [7.49, 7.49], [7.49, 8.22], [7.84, 7.51], [7.85, 7.85], [8.22, 7.49], [8.22, 8.24]]",SN1032939171,AZ11942284,CC(C)NC[C@H](O)COc1cccc2ccccc12
41_SN1039545611,"[[1.55, 1.57], [1.56, 3.36], [1.56, 2.18], [1.56, 1.76], [1.74, 1.76], [1.75, 1.57], [2.16, 2.98], [2.16, 1.57], [2.17, 2.18], [2.17, 1.76], [2.42, 2.76], [2.42, 2.44], [2.75, 2.78], [2.75, 2.45], [2.97, 2.18], [2.99, 2.98], [3.35, 3.37], [3.36, 1.57], [7.26, 7.27], [7.27, 7.83], [7.27, 8.85], [7.31, 8.04], [7.32, 7.33], [7.53, 7.55], [7.54, 7.85], [7.81, 7.85], [7.82, 7.27], [7.83, 7.55], [7.84, 7.85], [8.01, 8.04], [8.03, 7.33], [8.84, 7.27], [8.85, 8.85]]",SN1039545611,AZ10139651,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1
