sample-id,shifts,SN_Number,AZ_Number,SMILES
19_SN0036206458,"[[0.09, 3.7], [0.44, 3.17], [0.95, 10.91], [0.97, 23.39], [2.54, 50.46], [2.65, 50.64], [2.68, 48.71], [2.71, 35.17], [3.22, 74.9], [3.53, 71.39], [3.82, 71.21], [3.82, 68.92], [3.9, 71.21], [6.83, 114.81], [7.12, 130.28]]",SN0036206458,AZ10854205,CC(C)NC[C@@H](O)COc1ccc(CCOCC2CC2)cc1
36_SN1063482746,"[[1.71, 16.36], [1.77, 22.69], [2.05, 11.44], [2.13, 34.47], [2.23, 33.06], [3.27, 22.86], [3.67, 61.01], [5.1, 123.07], [5.21, 69.1]]",SN1063482746,AZ11034953,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2
8_SN0013094489,"[[1.88, 23.17], [2.37, 21.41], [2.91, 53.05], [3.48, 53.05], [3.78, 52.85], [6.96, 121.6], [6.96, 122.77], [7.13, 129.8], [7.3, 129.8], [7.33, 123.55], [7.73, 137.42], [8.61, 149.72]]",SN0013094489,AZ12227950,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
26_SN1039885387,"[[0.89, 12.32], [1.05, 17.24], [1.5, 22.51], [1.62, 22.51], [1.79, 22.51], [2.44, 22.86], [2.62, 48.53], [2.74, 22.86], [2.77, 22.86], [2.92, 56.44], [3.02, 35.7], [3.73, 55.56], [6.71, 107.78], [6.71, 121.84], [7.07, 126.94]]",SN1039885387,AZ11132517,CCCN[C@@H]1CCc2c(OC)cccc2[C@@H]1C
29_SN0027837023,"[[0.97, 16.18], [1.81, 28.14], [2.03, 10.21], [2.16, 27.96], [2.48, 17.94], [2.55, 58.38], [2.55, 43.43], [2.62, 53.63], [2.7, 21.46], [3.63, 65.94]]",SN0027837023,AZ10421813,CCc1c(C)[nH]c2c1C(=O)[C@@H](CN1CCOCC1)CC2
11_SN0150207227,"[[2.69, 43.08], [3.25, 42.55], [5.43, 78.95], [5.88, 95.47], [5.88, 96.35], [6.79, 115.69], [7.31, 128.87]]",SN0150207227,AZ10282497,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21
40_SN1013616272,"[[0.62, 9.33], [0.9, 8.62], [2.25, 9.33], [3.48, 49.59], [4.5, 68.05], [4.63, 64.88], [6.81, 124.65], [6.87, 121.67], [6.95, 112.17], [7.09, 126.76]]",SN1013616272,AZ10720790,c1ccc(C2CC2)c(OCC2NCCN2)c1
6_SN0150184184,"[[1.39, 18.82], [3.69, 44.66], [5.0, 50.82], [7.33, 165.27], [7.35, 128.52], [7.54, 128.7], [7.66, 123.95], [7.67, 132.74], [7.78, 123.78], [7.85, 120.08]]",SN0150184184,AZ10522930,C[C@H](C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
16_SN0027959070,"[[1.95, 52.05], [2.07, 45.37], [2.16, 54.16], [2.2, 52.05], [2.87, 61.01], [3.58, 61.01], [7.38, 124.83], [7.44, 131.16], [7.44, 128.7], [7.63, 133.44], [7.63, 130.81], [7.75, 130.98], [8.18, 144.52]]",SN0027959070,AZ10023088,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
39_SN0176586344,"[[1.3, 30.6], [1.37, 33.94], [1.56, 21.81], [1.77, 25.15], [1.79, 30.77], [1.89, 33.94], [2.07, 56.79], [2.17, 64.0], [2.19, 40.27], [2.9, 56.79], [3.19, 60.31], [7.19, 127.47], [7.2, 128.52], [7.29, 126.59], [7.3, 128.7], [7.32, 128.52]]",SN0176586344,AZ10642506,CN1CCC[C@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1
30_SN0153719205,"[[0.86, 17.06], [2.04, 64.35], [2.04, 29.02], [2.06, 46.25], [2.23, 64.35], [3.58, 51.7], [3.92, 51.7], [6.93, 123.07], [7.01, 116.74], [7.14, 127.82], [7.19, 127.99]]",SN0153719205,AZ10096198,C[C@H](CN(C)C)CN1c2ccccc2Sc2ccccc21
34_SN1013197435,"[[2.06, 45.01], [2.86, 57.67], [6.24, 129.4], [7.1, 129.58], [7.46, 124.48], [7.46, 132.04], [7.52, 138.02], [8.23, 149.79], [8.5, 148.92]]",SN1013197435,AZ12228081,CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1
13_SN0016620489,"[[6.77, 117.97], [7.06, 123.6], [7.22, 114.28], [7.23, 122.02], [7.35, 130.1], [7.38, 134.68], [7.9, 132.39], [7.9, 132.57]]",SN0016620489,AZ10034756,O=C(O)c1ccccc1Nc1ccccc1
2_SN0150382857,"[[2.11, 45.82], [2.26, 51.68], [2.32, 55.2], [4.24, 74.92], [7.17, 127.65], [7.27, 129.22], [7.32, 129.02], [7.37, 128.04], [7.42, 129.8]]",SN0150382857,AZ10169773,CN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1
28_SN0013872791,"[[2.68, 24.09], [3.0, 23.92], [7.37, 129.23], [7.38, 128.7], [7.47, 129.4], [7.48, 126.76], [7.51, 129.23], [7.51, 127.99]]",SN0013872791,AZ10011150,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
42_SN1053693135,"[[1.03, 15.05], [1.49, 28.67], [1.64, 22.86], [1.8, 28.67], [2.12, 53.63], [2.2, 48.18], [2.57, 62.42], [2.81, 48.18], [3.09, 53.63], [3.15, 42.03], [3.49, 42.2], [3.95, 56.97], [7.31, 113.23], [7.88, 130.46], [8.27, 129.23]]",SN1053693135,AZ10161092,CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
1_SN0017662828,"[[0.82, 12.43], [1.37, 22.0], [1.42, 25.71], [1.84, 25.71], [2.42, 52.46], [2.69, 29.81], [2.74, 26.1], [2.76, 30.0], [2.79, 56.76], [6.5, 119.45], [6.56, 111.83], [6.87, 126.09]]",SN0017662828,AZ10075521,CCCN(CCC)[C@H]1CCc2cccc(O)c2C1
18_SN0029896558,"[[1.21, 20.63], [1.43, 33.91], [1.43, 27.27], [1.46, 30.0], [1.47, 29.03], [1.49, 27.27], [1.53, 33.91], [1.64, 33.91], [1.64, 30.0], [2.55, 41.92], [3.21, 43.09], [3.59, 47.58], [3.81, 55.39], [6.25, 96.6], [6.46, 92.11], [7.41, 122.58], [8.06, 135.27], [8.53, 144.64], [8.56, 172.57]]",SN0029896558,AZ10011678,COc1cc(N[C@@H](C)CCCN)c2ncccc2c1
9_SN0017963968,"[[2.61, 28.31], [3.28, 33.59], [7.43, 128.87], [7.5, 129.75], [7.74, 127.64], [7.82, 127.47], [8.06, 129.23]]",SN0017963968,AZ10175972,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
31_SN0182236677,"[[1.58, 23.57], [2.44, 53.98], [3.85, 52.4], [5.54, 46.6], [7.16, 122.9], [7.18, 129.23], [7.35, 129.05], [7.37, 110.94], [7.6, 119.56], [7.61, 122.19]]",SN0182236677,AZ10557846,Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1
32_SN1003965023,"[[0.89, 19.35], [2.39, 41.67], [2.64, 54.51], [2.64, 41.67], [2.8, 54.33], [3.69, 55.39], [4.47, 71.39], [6.57, 113.05], [6.78, 114.11], [6.79, 115.16], [6.85, 122.37], [6.87, 166.14], [7.01, 130.81], [7.99, 119.2], [8.23, 160.69]]",SN1003965023,AZ10930573,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1
24_SN1032939171,"[[0.96, -2.45], [0.98, 23.04], [0.99, -2.28], [2.67, 50.29], [2.73, 48.71], [2.78, 50.46], [4.01, 68.75], [4.1, 71.39], [6.93, 105.67], [7.39, 126.76], [7.44, 120.43], [7.48, 125.71], [7.5, 126.94], [7.83, 127.99], [8.22, 122.19]]",SN1032939171,AZ11942284,CC(C)NC[C@H](O)COc1cccc2ccccc12
41_SN1039545611,"[[1.55, 28.67], [1.75, 28.84], [2.17, 52.75], [2.43, 22.34], [2.44, 56.79], [2.77, 24.09], [2.97, 52.75], [3.36, 43.08], [7.27, 116.39], [7.32, 116.39], [7.55, 125.71], [7.84, 136.78], [8.03, 131.69], [8.85, 126.94]]",SN1039545611,AZ10139651,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1
3_SN1044728308,"[[0.95, 12.23], [2.47, 47.19], [2.49, 51.88], [3.24, 37.42], [6.53, 113.2], [7.51, 129.02]]",SN1044728308,AZ10201976,CCN(CC)CCNC(=O)c1ccc(N)cc1
17_SN0029578999,"[[0.93, 12.32], [2.49, 47.48], [2.68, 51.17], [4.2, 62.6], [6.56, 113.23], [7.62, 131.69]]",SN0029578999,AZ10006736,CCN(CC)CCOC(=O)c1ccc(N)cc1
37_SN1071859848,"[[1.81, 20.75], [2.12, 45.54], [2.27, 56.79], [2.51, 56.79], [3.69, 47.12], [3.75, 55.56], [4.27, 47.3], [4.96, 70.86], [5.1, 53.63], [6.9, 113.93], [7.34, 128.17], [7.42, 131.51], [7.58, 131.86], [7.67, 125.36], [7.69, 135.55]]",SN1071859848,AZ10180667,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
5_SN1053574084,"[[2.02, 45.19], [2.21, 27.43], [2.31, 58.9], [5.07, 69.8], [5.99, 131.16], [6.68, 119.2], [6.87, 121.67], [7.11, 129.58], [7.22, 128.17], [7.24, 130.63], [7.33, 128.35], [7.38, 129.23], [7.45, 128.87]]",SN1053574084,AZ12129293,CN(C)CC/C=C1\c2ccccc2COc2ccccc21
43_SN1075832064,"[[2.08, 26.56], [2.42, 49.23], [2.43, 45.19], [2.55, 26.38], [2.64, 49.23], [4.07, 65.23], [5.76, 84.57], [5.96, 101.1], [6.13, 115.86], [6.21, 103.56], [6.69, 108.48], [6.69, 108.48], [7.13, 113.75], [7.14, 165.97]]",SN1075832064,AZ12093396,CN1CCc2cc3c(cc2[C@H]1[C@@H]1OC(=O)c2c1ccc1c2OCO1)OCO3
12_SN1000092245,"[[2.51, -5.27], [3.42, 40.8], [3.73, 56.09], [6.63, 122.19], [6.69, 115.86], [6.8, 114.11]]",SN1000092245,AZ10117523,COc1cc(CC(=O)O)ccc1O
21_SN0038778196,"[[0.8, 12.14], [1.35, 21.98], [1.42, 26.2], [1.83, 26.2], [2.37, 52.22], [2.54, 32.01], [2.57, 28.67], [2.6, 32.18], [2.66, 28.84], [2.77, 56.79], [6.43, 115.69], [6.45, 113.58], [6.79, 129.75]]",SN0038778196,AZ10525406,CCCN(CCC)[C@H]1CCc2ccc(O)cc2C1
23_SN1019273220,"[[1.69, 36.58], [1.72, 36.4], [1.97, 26.03], [2.08, 36.58], [2.1, 36.4], [2.15, 40.27], [2.16, -4.56], [3.02, 59.61], [3.04, -6.32], [5.05, 66.46], [7.18, 121.84], [7.19, 122.9], [7.49, 112.88], [7.96, 132.57], [8.03, 120.61]]",SN1019273220,AZ10828756,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1c[nH]c3ccccc13)C2
10_SN1006043322,"[[2.07, 14.43], [2.27, 20.58], [3.81, 33.24], [7.09, 128.35], [7.11, 124.48], [7.11, 98.99], [7.11, 126.41]]",SN1006043322,AZ10218817,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C
25_SN1051639941,"[[0.95, 46.25], [0.97, 12.67], [0.98, 46.25], [2.48, 46.77], [2.49, 51.7], [2.51, -5.09], [3.28, 51.7], [3.29, 37.46], [3.82, 56.27], [6.49, 98.11], [7.87, 135.38]]",SN1051639941,AZ10626718,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC
27_SN1002128888,"[[1.97, 19.51], [2.3, -3.87], [2.32, -3.87], [2.33, 14.24], [3.2, 39.9], [3.36, 38.5], [3.38, 47.99], [3.48, 48.52], [3.75, 71.38], [4.15, 48.17], [5.14, 34.98], [6.57, 112.16], [7.02, 132.03], [7.66, 134.49], [7.68, 129.57]]",SN1002128888,AZ11919687,Cc1ccsc1/C=C/C1=NCCCN1C
