,SMILES,shifts,sample-id
0,CCN(CC)CCOC(=O)c1ccc(N)cc1,"[11.959391499999999, 50.4787405, 54.074207, 63.750782, 114.214415, 116.691696, 131.807715, 154.19772, 166.2936]",AZ10006736
1,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,"[22.573988, 30.38643, 126.842893, 127.14689, 128.95908, 129.03447, 129.263585, 129.37222, 129.87238, 131.62822, 134.87288, 146.37161, 161.13905, 177.68275]",AZ10011150
2,COc1cc(N[C@@H](C)CCCN)c2ncccc2c1,"[20.185846, 27.657637, 32.1068, 38.261555, 47.23395, 55.775883, 99.8647, 106.00289, 119.713264, 129.77756, 136.06273, 137.00969, 143.60802, 149.72295, 156.40594]",AZ10011678
4,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,"[43.638496, 53.132745, 54.466175, 60.65886, 122.743645, 125.7768, 127.18019, 127.96717, 128.73929, 129.01419, 132.06119, 134.59283, 139.9922, 143.66547, 144.79951, 165.56863, 170.18463]",AZ10023088
5,O=C(O)c1ccccc1Nc1ccccc1,"[115.48843, 116.626537, 117.67146, 119.352165, 119.99384, 128.32608, 132.48882, 134.7399, 142.60097, 147.3779, 171.21696]",AZ10034756
6,CCCN(CCC)C1CCc2cccc(O)c2C1,"[12.551797, 20.410555000000002, 25.577742, 25.75257, 27.108982, 53.125057, 55.984003, 113.043625, 118.88639, 120.41334, 127.4255, 136.93782, 154.70288]",AZ10075521
7,C[C@H](CN(C)C)CN1c2ccccc2Sc2ccccc21,"[15.486109, 28.951115, 44.9077385, 49.596672, 61.515495, 117.197698, 122.7130025, 124.5848725, 127.513993, 127.554987, 143.864375]",AZ10096198
8,COc1cc(CC(=O)O)ccc1O,"[39.58186, 55.654953, 112.220795, 114.19652, 122.17699, 125.12678, 145.75822, 146.49812, 176.35747]",AZ10117523
9,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,"[22.215918, 23.487642, 25.977186, 39.244816, 53.300465, 57.052483, 114.32558, 114.54112, 115.31859, 122.05257, 131.06177, 131.321035, 133.37485, 139.57872, 152.03564, 158.52805, 162.78029, 164.96748, 199.59172]",AZ10139651
10,CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,"[13.400511, 21.863348, 28.46024, 40.5304, 48.790638, 54.02997, 55.8142, 61.652023, 113.02052, 122.76382, 128.91823, 129.65732, 134.6116, 157.61447, 163.57741]",AZ10161092
