SMILES,shifts,sample-id
CCN(CC)CCOC(=O)c1ccc(N)cc1,"[(0.9780842999999999, 0.5), (0.9938343, 1.0), (1.0091826000000002, 0.5), (1.0095843, 0.5), (1.0249326, 1.0), (1.0406826, 0.5), (2.7927276, 0.3333333333333333), (2.8014437, 0.3333333333333333), (2.8102276, 0.6666666666666666), (2.8189437, 0.6666666666666666), (2.8277276000000002, 0.6666666666666666), (2.8364437000000002, 0.6666666666666666), (2.8452276000000003, 0.3333333333333333), (2.8539437000000003, 0.3333333333333333), (2.9452873999999998, 0.5), (2.9610374, 1.0), (2.9767874, 0.5), (4.404959600000001, 0.5), (4.4207096, 1.0), (4.4364596, 0.5), (6.721516, 0.5), (6.725274000000001, 0.5), (6.741516, 0.5), (6.745274, 0.5), (7.5825510000000005, 0.5), (7.5963864, 0.5), (7.602551, 0.5), (7.6163864, 0.5)]",AZ10006736
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,"[(2.6037878, 0.5), (2.6205378, 1.0), (2.6372878, 0.5), (2.710514, 0.5), (2.727264, 1.0), (2.744014, 0.5), (7.3891306000000005, 0.25), (7.4091306, 0.5), (7.412821, 0.25), (7.4291306, 0.25), (7.432821, 0.5), (7.452820999999999, 0.25), (7.496332000000001, 0.25), (7.516332, 0.5), (7.523868, 0.25), (7.5324235, 0.25), (7.536332, 0.25), (7.543868, 0.5), (7.5524235, 0.5), (7.563867999999999, 0.25), (7.5658064000000005, 0.25), (7.572423499999999, 0.25), (7.5858064, 0.5), (7.6058064, 0.25), (7.6822185, 0.5), (7.7022185, 0.5), (7.7196502, 0.5), (7.729582000000001, 0.5), (7.7327833, 0.5), (7.7396502, 0.5), (7.749582, 0.5), (7.7527833, 0.5)]",AZ10011150
COc1cc(N[C@@H](C)CCCN)c2ncccc2c1,"[(1.2197413, 1.5), (1.2349913, 1.5), (1.3279273999999999, 0.2222222222222222), (1.3443524, 0.4444444444444444), (1.3607774, 0.6666666666666666), (1.3772023999999998, 0.4444444444444444), (1.3936274, 0.2222222222222222), (1.6310597, 0.3333333333333333), (1.6495597, 0.6666666666666666), (1.6680597, 0.6666666666666666), (1.6865596999999999, 0.3333333333333333), (2.5760044, 0.5), (2.5917544, 1.0), (2.6075044000000003, 0.5), (3.7123768, 3), (4.3237499999999995, 0.16666666666666666), (4.34125, 0.3333333333333333), (4.35875, 0.5), (4.37625, 0.5), (4.39375, 0.3333333333333333), (4.41125, 0.16666666666666666), (6.8211217, 1), (6.884052, 1), (7.253552, 0.25), (7.273552, 0.5), (7.293551999999999, 0.25), (7.676651000000001, 0.5), (7.696651, 0.5), (8.351415000000001, 0.5), (8.371415, 0.5)]",AZ10011678
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,"[(2.1831481, 3), (2.6831419999999997, 0.5), (2.6916230999999997, 0.5), (2.698892, 1.0), (2.7073731, 1.0), (2.714642, 0.5), (2.7231231, 0.5), (2.9033569999999997, 0.5), (2.9122079999999997, 0.5), (2.919107, 1.0), (2.927958, 1.0), (2.934857, 0.5), (2.943708, 0.5), (3.5241008, 2), (6.649561, 0.25), (6.669561, 0.5), (6.689560999999999, 0.25), (7.2292323000000005, 0.25), (7.2348447, 0.25), (7.2492323, 0.5), (7.2548447, 0.5), (7.2692323, 0.25), (7.274844699999999, 0.25), (7.278567000000001, 0.5), (7.298567, 0.5), (7.513392400000001, 0.5), (7.5333924, 0.5), (7.5631323, 0.5), (7.5831323, 0.5), (7.7456493, 0.5), (7.7656493, 0.5)]",AZ10023088
O=C(O)c1ccccc1Nc1ccccc1,"[(6.995711300000001, 0.25), (7.0157113, 0.5), (7.0357113, 0.25), (7.1811566000000004, 0.25), (7.18482, 0.25), (7.1934233, 0.25), (7.2011566, 0.5), (7.20482, 0.5), (7.2134233, 0.5), (7.2211566, 0.25), (7.224819999999999, 0.25), (7.233423299999999, 0.25), (7.255579, 0.25), (7.275579, 0.5), (7.278822000000001, 0.5), (7.295578999999999, 0.25), (7.298822, 0.5), (7.3003907, 0.5), (7.3005320000000005, 0.5), (7.3203907, 0.5), (7.320532, 0.5), (7.7594495000000006, 0.5), (7.7794495, 0.5)]",AZ10034756
CCCN(CCC)C1CCc2cccc(O)c2C1,"[(0.7810655999999999, 0.5), (0.7968156, 1.0), (0.8027820999999999, 0.5), (0.8125656, 0.5), (0.8185321, 1.0), (0.8342821, 0.5), (1.4794194, 0.16666666666666666), (1.4969194, 0.3333333333333333), (1.5077613, 0.16666666666666666), (1.5144194, 0.5), (1.5252613, 0.3333333333333333), (1.5319194, 0.5), (1.5427613, 0.5), (1.5494194000000001, 0.3333333333333333), (1.5602613, 0.5), (1.5669194, 0.16666666666666666), (1.5777613000000001, 0.3333333333333333), (1.5952613, 0.16666666666666666), (1.7227256, 0.3333333333333333), (1.7412256, 0.6666666666666666), (1.7597256, 0.6666666666666666), (1.7782255999999999, 0.3333333333333333), (2.5681734, 1), (2.5854234, 1), (2.6459576, 0.5), (2.6617076, 1.0), (2.6663471999999997, 0.5), (2.6774576000000003, 0.5), (2.678491, 0.5), (2.6820972, 1.0), (2.695241, 1.0), (2.6978472, 0.5), (2.7119910000000003, 0.5), (2.8907924, 0.2222222222222222), (2.9072174, 0.4444444444444444), (2.9236424, 0.6666666666666666), (2.9400673999999998, 0.4444444444444444), (2.9564923999999997, 0.2222222222222222), (6.5619325, 0.5), (6.5819325, 0.5), (6.755385, 0.5), (6.775385, 0.5), (6.953157, 0.25), (6.973157, 0.5), (6.993156999999999, 0.25)]",AZ10075521
C[C@H](CN(C)C)CN1c2ccccc2Sc2ccccc21,"[(0.95886956, 1.5), (0.97411956, 1.5), (2.052514, 3), (2.073449, 3), (2.4011384000000002, 1.5), (2.4163884, 1.5), (2.4246464, 1), (2.4393964, 1), (3.9940225999999996, 1), (4.0087725999999995, 1), (6.6977978, 0.5), (6.708736, 0.5), (6.7177978, 0.5), (6.728736, 0.5), (6.858578700000001, 0.25), (6.865856600000001, 0.25), (6.877430400000001, 0.25), (6.8774366, 0.25), (6.8785787, 0.5), (6.8858566, 0.5), (6.8974304, 0.5), (6.8974366, 0.5), (6.8985787, 0.25), (6.9058566, 0.25), (6.9174304, 0.25), (6.917436599999999, 0.25), (7.270650000000001, 0.5), (7.280291, 0.5), (7.29065, 0.5), (7.300291, 0.5)]",AZ10096198
COc1cc(CC(=O)O)ccc1O,"[(3.5967157, 2), (3.7898886, 3), (6.625239400000001, 0.5), (6.6452394, 0.5), (6.940208, 0.5), (6.960208, 0.5), (7.0986447, 1)]",AZ10117523
Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,"[(1.8801632000000001, 0.3333333333333333), (1.8820177, 0.3333333333333333), (1.8986632, 0.6666666666666666), (1.9005177, 0.6666666666666666), (1.9171632, 0.6666666666666666), (1.9190177, 0.6666666666666666), (1.9356632, 0.3333333333333333), (1.9375177, 0.3333333333333333), (2.4082266, 0.5), (2.4249766, 1.0), (2.4417266, 0.5), (2.525105, 0.5), (2.525819, 0.5), (2.540855, 1.0), (2.541569, 1.0), (2.5566050000000002, 0.5), (2.557319, 0.5), (2.5573509, 3), (2.6443887999999998, 0.5), (2.6601388, 1.0), (2.6758888, 0.5), (3.535681, 0.1111111111111111), (3.554431, 0.2222222222222222), (3.573181, 0.3333333333333333), (3.5919309999999998, 0.2222222222222222), (3.610681, 0.1111111111111111), (7.036302, 0.25), (7.056302, 0.5), (7.076301999999999, 0.25), (7.156915000000001, 0.5), (7.157782, 0.5), (7.176915, 0.5), (7.177782, 0.5), (7.4858694, 0.25), (7.5058694, 0.5), (7.5258693999999995, 0.25), (7.725618000000001, 0.5), (7.7320814, 0.5), (7.745618, 0.5), (7.7520814, 0.5), (7.986349000000001, 0.5), (8.006349, 0.5), (8.644645, 0.5), (8.664645, 0.5)]",AZ10139651
CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,"[(0.8623927, 0.5), (0.8781427, 1.0), (0.8938927000000001, 0.5), (1.5219099, 0.2222222222222222), (1.5383349000000002, 0.4444444444444444), (1.5547599, 0.6666666666666666), (1.5711849, 0.4444444444444444), (1.5876099000000001, 0.2222222222222222), (1.6138474, 0.3333333333333333), (1.6323474, 0.6666666666666666), (1.6508474, 0.6666666666666666), (1.6693474, 0.3333333333333333), (2.7536614999999998, 0.3333333333333333), (2.7711615, 0.6666666666666666), (2.7886615, 0.6666666666666666), (2.8061615, 0.3333333333333333), (2.838714, 0.5), (2.854464, 1.0), (2.8702140000000003, 0.5), (3.3392585, 0.2222222222222222), (3.3519063, 1), (3.3556835, 0.4444444444444444), (3.3666563000000003, 1), (3.3721085, 0.6666666666666666), (3.3885335, 0.4444444444444444), (3.4049584999999998, 0.2222222222222222), (3.8662012000000003, 3), (7.314648600000001, 0.5), (7.3346486, 0.5), (7.6607080000000005, 0.5), (7.680708, 0.5), (8.096217, 1)]",AZ10161092
