SMILES,shifts,sample-id
CCN(CC)CCOC(=O)c1ccc(N)cc1,"[(0.9938343, 0.9938343), (0.9938343, 2.8189776), (1.0249326, 2.8276937), (1.0249326, 1.0249326), (2.8189776, 2.8189776), (2.8189776, 0.9938343), (2.8276937, 1.0249326), (2.8276937, 2.8276937), (2.9610374, 2.9610374), (2.9610374, 4.4207096), (4.4207096, 4.4207096), (4.4207096, 2.9610374), (6.741516, 6.741516), (6.741516, 7.6163864), (6.745274, 6.745274), (6.745274, 7.602551), (7.602551, 7.602551), (7.602551, 6.745274), (7.6163864, 7.6163864), (7.6163864, 6.741516)]",AZ10006736
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,"[(2.6205378, 2.6205378), (2.6205378, 2.727264), (2.727264, 2.6205378), (2.727264, 2.727264), (7.4091306, 7.7022185), (7.4091306, 7.5858064), (7.4091306, 7.4091306), (7.432821, 7.7396502), (7.432821, 7.432821), (7.432821, 7.5858064), (7.516332, 7.516332), (7.516332, 7.5524235), (7.516332, 7.749582), (7.543868, 7.7527833), (7.543868, 7.543868), (7.543868, 7.5524235), (7.5524235, 7.543868), (7.5524235, 7.5524235), (7.5524235, 7.516332), (7.5858064, 7.432821), (7.5858064, 7.5858064), (7.5858064, 7.4091306), (7.7022185, 7.7022185), (7.7022185, 7.4091306), (7.7396502, 7.7396502), (7.7396502, 7.432821), (7.749582, 7.749582), (7.749582, 7.516332), (7.7527833, 7.543868), (7.7527833, 7.7527833)]",AZ10011150
COc1cc(N[C@@H](C)CCCN)c2ncccc2c1,"[(1.2273663, 1.2273663), (1.2273663, 4.3675), (1.3607774, 2.5917544), (1.3607774, 1.6588097), (1.3607774, 1.3607774), (1.6588097, 1.6588097), (1.6588097, 1.3607774), (1.6588097, 4.3675), (2.5917544, 1.3607774), (2.5917544, 2.5917544), (3.7123768, 3.7123768), (4.3675, 4.3675), (4.3675, 1.6588097), (4.3675, 1.2273663), (6.8211217, 6.8211217), (6.884052, 6.884052), (7.273552, 7.273552), (7.273552, 7.696651), (7.273552, 8.371415), (7.696651, 7.273552), (7.696651, 7.696651), (8.371415, 7.273552), (8.371415, 8.371415)]",AZ10011678
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,"[(2.1831481, 2.1831481), (2.698892, 2.927958), (2.698892, 2.698892), (2.7073731, 2.919107), (2.7073731, 2.7073731), (2.919107, 2.919107), (2.919107, 2.7073731), (2.927958, 2.927958), (2.927958, 2.698892), (3.5241008, 3.5241008), (6.669561, 6.669561), (6.669561, 7.298567), (6.669561, 7.5831323), (7.2492323, 7.5333924), (7.2492323, 7.2492323), (7.2492323, 7.2548447), (7.2548447, 7.2492323), (7.2548447, 7.2548447), (7.2548447, 7.7656493), (7.298567, 6.669561), (7.298567, 7.298567), (7.5333924, 7.5333924), (7.5333924, 7.2492323), (7.5831323, 6.669561), (7.5831323, 7.5831323), (7.7656493, 7.2548447), (7.7656493, 7.7656493)]",AZ10023088
O=C(O)c1ccccc1Nc1ccccc1,"[(7.0157113, 7.275579), (7.0157113, 7.7794495), (7.0157113, 7.0157113), (7.2011566, 7.2134233), (7.2011566, 7.20482), (7.2011566, 7.2011566), (7.20482, 7.2011566), (7.20482, 7.298822), (7.20482, 7.20482), (7.2134233, 7.2011566), (7.2134233, 7.320532), (7.2134233, 7.2134233), (7.275579, 7.0157113), (7.275579, 7.275579), (7.275579, 7.3203907), (7.298822, 7.20482), (7.298822, 7.298822), (7.3203907, 7.275579), (7.3203907, 7.3203907), (7.320532, 7.2134233), (7.320532, 7.320532), (7.7794495, 7.7794495), (7.7794495, 7.0157113)]",AZ10034756
CCCN(CCC)C1CCc2cccc(O)c2C1,"[(0.7968156, 0.7968156), (0.7968156, 1.5515113), (0.8185321, 0.8185321), (0.8185321, 1.5231694), (1.5231694, 2.6820972), (1.5231694, 1.5231694), (1.5231694, 0.8185321), (1.5515113, 2.6617076), (1.5515113, 1.5515113), (1.5515113, 0.7968156), (1.7504756, 2.9236424), (1.7504756, 2.695241), (1.7504756, 1.7504756), (2.5767984, 2.9236424), (2.5767984, 2.5767984), (2.6617076, 1.5515113), (2.6617076, 2.6617076), (2.6820972, 1.5231694), (2.6820972, 2.6820972), (2.695241, 1.7504756), (2.695241, 2.695241), (2.9236424, 1.7504756), (2.9236424, 2.9236424), (2.9236424, 2.5767984), (6.5819325, 6.5819325), (6.5819325, 6.973157), (6.775385, 6.973157), (6.775385, 6.775385), (6.973157, 6.5819325), (6.973157, 6.973157), (6.973157, 6.775385)]",AZ10075521
C[C@H](CN(C)C)CN1c2ccccc2Sc2ccccc21,"[(0.96649456, 2.4087634), (0.96649456, 0.96649456), (2.052514, 2.052514), (2.073449, 2.073449), (2.4087634, 2.4087634), (2.4087634, 2.4320214), (2.4087634, 0.96649456), (2.4087634, 4.0013976), (2.4320214, 2.4087634), (2.4320214, 2.4320214), (4.0013976, 4.0013976), (4.0013976, 2.4087634), (6.7177978, 6.7177978), (6.7177978, 6.8974304), (6.728736, 6.728736), (6.728736, 6.8974366), (6.8785787, 6.8974304), (6.8785787, 6.8785787), (6.8785787, 7.29065), (6.8858566, 6.8858566), (6.8858566, 7.300291), (6.8858566, 6.8974366), (6.8974304, 6.7177978), (6.8974304, 6.8974304), (6.8974304, 6.8785787), (6.8974366, 6.8974366), (6.8974366, 6.8858566), (6.8974366, 6.728736), (7.29065, 7.29065), (7.29065, 6.8785787), (7.300291, 7.300291), (7.300291, 6.8858566)]",AZ10096198
COc1cc(CC(=O)O)ccc1O,"[(3.5967157, 3.5967157), (3.7898886, 3.7898886), (6.6452394, 6.6452394), (6.6452394, 6.960208), (6.960208, 6.6452394), (6.960208, 6.960208), (7.0986447, 7.0986447)]",AZ10117523
Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,"[(1.9079132, 3.573181), (1.9079132, 2.541569), (1.9079132, 1.9079132), (1.9097677, 3.573181), (1.9097677, 2.540855), (1.9097677, 1.9097677), (2.4249766, 2.4249766), (2.4249766, 2.6601388), (2.540855, 1.9097677), (2.540855, 2.540855), (2.541569, 1.9079132), (2.541569, 2.541569), (2.5573509, 2.5573509), (2.6601388, 2.4249766), (2.6601388, 2.6601388), (3.573181, 3.573181), (3.573181, 1.9079132), (3.573181, 1.9097677), (7.056302, 7.5058694), (7.056302, 7.056302), (7.056302, 8.664645), (7.176915, 7.745618), (7.176915, 7.176915), (7.177782, 7.177782), (7.177782, 7.7520814), (7.5058694, 7.5058694), (7.5058694, 7.056302), (7.5058694, 8.006349), (7.745618, 7.745618), (7.745618, 7.176915), (7.7520814, 7.177782), (7.7520814, 7.7520814), (8.006349, 7.5058694), (8.006349, 8.006349), (8.664645, 7.056302), (8.664645, 8.664645)]",AZ10139651
CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,"[(0.8781427, 0.8781427), (0.8781427, 2.7799115), (1.5547599, 2.854464), (1.5547599, 1.6415974), (1.5547599, 1.5547599), (1.6415974, 3.3721085), (1.6415974, 1.5547599), (1.6415974, 1.6415974), (2.7799115, 2.7799115), (2.7799115, 0.8781427), (2.854464, 1.5547599), (2.854464, 2.854464), (3.3592813, 3.3721085), (3.3592813, 3.3592813), (3.3721085, 3.3721085), (3.3721085, 3.3592813), (3.3721085, 1.6415974), (3.8662012, 3.8662012), (7.3346486, 7.680708), (7.3346486, 7.3346486), (7.680708, 7.680708), (7.680708, 7.3346486), (8.096217, 8.096217)]",AZ10161092
