,SMILES,shifts,sample-id
0,CCN(CC)CCOC(=O)c1ccc(N)cc1,"[[1.00938345, 11.959391499999999], [2.82333565, 50.4787405], [2.9610374, 54.074207], [4.4207096, 63.750782], [6.743395, 114.214415], [7.6094687, 131.807715]]",AZ10006736
1,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,"[[2.6205378, 30.38643], [2.727264, 22.573988], [7.4209758, 129.03447], [7.5301, 128.95908], [7.5524235, 129.87238], [7.5858064, 129.37222], [7.72093435, 129.263585], [7.7511826500000005, 126.842893]]",AZ10011150
2,COc1cc(N[C@@H](C)CCCN)c2ncccc2c1,"[[1.2273663, 20.185846], [1.3607774, 27.657637], [1.6588097, 32.1068], [1.6588097, 32.1068], [2.5917544, 38.261555], [3.7123768, 55.775883], [4.3675, 47.23395], [6.8211217, 99.8647], [6.884052, 106.00289], [7.273552, 119.713264], [7.696651, 136.06273], [8.371415, 149.72295]]",AZ10011678
4,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,"[[2.1831481, 43.638496], [2.70313255, 54.466175], [2.9235325, 53.132745], [3.5241008, 60.65886], [6.669561, 122.743645], [7.2492323, 134.59283], [7.2548447, 129.01419], [7.298567, 128.73929], [7.5333924, 125.7768], [7.5831323, 143.66547], [7.7656493, 132.06119]]",AZ10023088
5,O=C(O)c1ccccc1Nc1ccccc1,"[[7.0157113, 117.67146], [7.2011566, 119.99384], [7.20912165, 128.32608], [7.275579, 134.7399], [7.309677000000001, 116.626537], [7.3203907, 119.352165], [7.7794495, 132.48882]]",AZ10034756
6,CCCN(CCC)C1CCc2cccc(O)c2C1,"[[0.80767385, 12.551797], [1.53734035, 20.410555000000002], [1.7504756, 25.577742], [2.5767984, 27.108982], [2.6719024, 55.984003], [2.695241, 25.75257], [2.9236424, 53.125057], [6.5819325, 118.88639], [6.775385, 113.043625], [6.973157, 127.4255]]",AZ10075521
7,C[C@H](CN(C)C)CN1c2ccccc2Sc2ccccc21,"[[0.96649456, 15.486109], [2.0629815000000002, 44.9077385], [2.4087634, 28.951115], [2.4320214, 61.515495], [4.0013976, 49.596672], [6.7232669, 117.197698], [6.88221765, 122.7130025], [6.8974335, 127.513993], [7.2954705, 127.554987]]",AZ10096198
8,COc1cc(CC(=O)O)ccc1O,"[[3.5967157, 39.58186], [3.7898886, 55.654953], [6.6452394, 122.17699], [6.960208, 114.19652], [7.0986447, 112.220795]]",AZ10117523
9,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,"[[1.90884045, 25.977186], [2.4249766, 22.215918], [2.541212, 53.300465], [2.5573509, 23.487642], [2.6601388, 57.052483], [3.573181, 39.244816], [7.056302, 114.54112], [7.1773485, 114.32558], [7.5058694, 139.57872], [7.7488497, 131.321035], [8.006349, 122.05257], [8.664645, 131.06177]]",AZ10139651
10,CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,"[[0.8781427, 13.400511], [1.5547599, 21.863348], [1.6415974, 28.46024], [2.7799115, 48.790638], [2.854464, 54.02997], [3.3592813, 40.5304], [3.3721085, 61.652023], [3.8662012000000003, 55.8142], [7.3346486, 113.02052], [7.680708, 129.65732], [8.096217, 128.91823]]",AZ10161092
11,CN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,"[[2.084466, 43.738014], [2.5874528, 54.573647], [2.834368, 51.6498785], [4.698324, 70.19588], [7.108078000000001, 128.963965], [7.1892473500000005, 129.46588], [7.2374887, 128.4045], [7.25449865, 128.67075], [7.297079, 129.10670499999998]]",AZ10169773
12,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,"[[2.3303003, 27.31594], [3.1402261, 33.59211], [7.46649195, 129.85715], [7.61056, 129.52202], [7.7274671, 126.369655], [7.7735725, 129.32473], [7.834512849999999, 126.4690625]]",AZ10175972
13,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,"[[2.0568523, 20.370129], [2.1106224, 42.546052], [2.7449815, 57.150322], [3.671605, 55.594776], [3.827784, 47.769306], [5.071048, 52.420208], [5.520844, 72.958694], [6.7817485, 113.94780750000001], [6.871522, 129.60327], [7.020708, 128.54396], [7.0330276, 131.71756], [7.163338899999999, 129.252075], [7.3414083, 126.377426]]",AZ10180667
14,CCN(CC)CCNC(=O)c1ccc(N)cc1,"[[0.9241968950000001, 12.33063525], [2.6709006, 55.00505], [2.73401045, 49.332372], [3.1596706, 36.02921], [6.556893349999999, 114.34433250000001], [7.4419205, 129.92666]]",AZ10201976
15,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,"[[2.3291216, 17.846554], [2.3529408, 12.807661], [3.901463, 32.201195], [6.7039976, 106.24309], [6.893326, 125.462425], [7.004213, 125.238655], [7.619323, 121.23221]]",AZ10218817
16,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,"[[2.9480948, 41.819748], [5.418758, 98.37537], [5.452445, 79.42404], [5.5265903, 96.24477], [6.9755566, 115.83121], [7.3860125, 128.919725]]",AZ10282497
17,CCc1c(C)[nH]c2c1C(=O)[C@@H](CN1CCOCC1)CC2,"[[1.0496212, 16.508875], [1.9162555, 25.390768], [2.2681742, 11.085006], [2.5641055, 60.693665], [2.6376495, 52.1407795], [2.8296607, 18.405695], [2.9457452, 43.910275], [3.2022858, 19.748028], [3.63586745, 65.989652]]",AZ10421813
